,ecosystem.type,interaction.count,interaction.count.unique,int.type.predacious,int.type.parasitic,int.type.herbivorous,int.type.detritivorous,int.type.bacterivorous,int.type.fungivorous,int.type.NA,int.type.parasitoid,int.class.ibi,int.class.nibi,int.class.NA,node.count,node.tax.unclassified,node.tax.family+,node.tax.species,node.tax.genus,node.multi.lifestage.ct,selfloop.ct
HEW36,terrestrial belowground,3251,3251,3015,0,61,50,27,98,0,0,3015,236,0,160,17,24,97,22,0,58
HEW47,terrestrial belowground,3073,3073,2878,0,41,46,22,86,0,0,2864,209,0,148,17,16,95,20,0,51
SEW01,terrestrial belowground,1245,1245,1124,0,32,22,13,54,0,0,1123,122,0,104,17,12,64,11,0,27
SEW02,terrestrial belowground,730,730,587,0,35,28,13,67,0,0,584,146,0,93,17,14,53,9,0,23
SEW03,terrestrial belowground,2159,2103,2027,0,36,26,15,55,0,0,2029,130,0,122,17,22,71,12,0,45
SEW04,terrestrial belowground,1604,1604,1444,0,32,32,16,80,0,0,1437,167,0,120,17,18,69,16,0,36
SEW05,terrestrial belowground,1239,1239,1106,0,32,32,15,54,0,0,1100,139,0,101,17,14,57,13,0,29
SEW06,terrestrial belowground,1991,1991,1820,0,38,33,21,79,0,0,1820,171,0,127,17,22,74,14,0,49
SEW07,terrestrial belowground,2787,2787,2630,0,47,30,16,64,0,0,2635,152,0,132,17,21,74,20,0,54
SEW08,terrestrial belowground,1897,1897,1767,0,31,28,13,58,0,0,1759,138,0,118,17,16,65,20,0,46
SEW09,terrestrial belowground,1039,1039,939,0,27,18,12,43,0,0,935,104,0,89,17,15,43,14,0,27
SEW18,terrestrial belowground,1939,1895,1794,0,30,25,18,72,0,0,1790,149,0,123,17,22,75,9,0,37
SEW35,terrestrial belowground,1184,1184,1056,0,30,23,18,57,0,0,1051,133,0,101,17,18,56,10,0,31
SEW36,terrestrial belowground,960,960,843,0,23,22,15,57,0,0,838,122,0,89,17,15,50,7,0,29
SEW37,terrestrial belowground,2031,2031,1886,0,33,33,17,62,0,0,1879,152,0,118,17,22,65,14,0,49
SEW41,terrestrial belowground,1757,1757,1595,0,31,31,22,78,0,0,1590,167,0,118,17,23,60,18,0,40
SEW43,terrestrial belowground,1814,1814,1652,0,31,31,22,78,0,0,1647,167,0,120,17,23,62,18,0,41
SEW48,terrestrial belowground,1883,1883,1741,0,37,32,14,59,0,0,1731,152,0,118,17,17,71,13,0,42
Kongsfjorden,marine,1661,1603,901,0,421,339,0,0,0,0,1035,626,0,263,18,1,231,13,0,10
Alford lake,lakes,220,220,141,0,73,6,0,0,0,0,111,109,0,56,4,0,43,9,0,3
Balsam lake,lakes,261,261,107,0,147,7,0,0,0,0,109,152,0,50,4,0,36,10,0,3
Beaver lake,lakes,267,267,145,0,118,4,0,0,0,0,114,153,0,56,4,0,45,7,0,5
Big hope lake,lakes,328,328,183,0,141,4,0,0,0,0,153,175,0,61,4,0,49,8,0,6
Brandy lake,lakes,121,121,86,0,29,6,0,0,0,0,68,53,0,30,3,0,24,3,0,2
Bridge brook lake,lakes,553,553,264,0,287,2,0,0,0,0,210,343,0,75,5,0,61,9,0,5
Brook trout lake,lakes,19,19,7,0,12,0,0,0,0,0,7,12,0,15,1,0,11,3,0,0
Buck pond,lakes,153,153,30,0,121,2,0,0,0,0,30,123,0,41,2,0,29,10,0,2
Burntbridge lake,lakes,183,183,62,0,118,3,0,0,0,0,60,123,0,53,5,0,38,10,0,3
Cascade lake,lakes,118,118,53,0,62,3,0,0,0,0,53,65,0,35,4,0,23,8,0,3
Chub lake,lakes,83,83,39,0,42,2,0,0,0,0,39,44,0,36,4,0,23,9,0,3
Chub pond,lakes,416,416,304,0,105,7,0,0,0,0,257,159,0,54,5,0,44,5,0,4
Connera lake,lakes,418,418,208,0,204,6,0,0,0,0,169,249,0,65,5,0,51,9,0,6
Constable lake,lakes,61,61,22,0,38,1,0,0,0,0,22,39,0,32,2,0,22,8,0,2
Deep lake,lakes,28,28,7,0,19,2,0,0,0,0,7,21,0,19,2,0,12,5,0,1
Emerald lake,lakes,58,58,33,0,25,0,0,0,0,0,32,26,0,22,1,0,15,6,0,4
Falls lake,lakes,152,152,51,0,99,2,0,0,0,0,50,102,0,39,5,0,24,10,0,3
Fawn lake,lakes,122,122,62,0,55,5,0,0,0,0,48,74,0,32,5,0,23,4,0,3
Federation lake,lakes,57,57,24,0,31,2,0,0,0,0,24,33,0,22,4,0,15,3,0,2
Goose lake,lakes,98,98,45,0,48,5,0,0,0,0,43,55,0,40,4,0,24,12,0,3
Grass lake,lakes,165,165,92,0,68,5,0,0,0,0,92,73,0,44,4,0,36,4,0,3
Gull lake,lakes,212,212,124,0,88,0,0,0,0,0,103,109,0,45,4,0,33,8,0,3
Gull lake north,lakes,25,25,8,0,17,0,0,0,0,0,8,17,0,16,1,0,11,4,0,2
Helldiver pond,lakes,169,169,74,0,91,4,0,0,0,0,64,105,0,41,5,0,26,10,0,2
High pond,lakes,87,87,54,0,32,1,0,0,0,0,54,33,0,24,5,0,17,2,0,4
Hoel lake,lakes,571,571,380,0,186,5,0,0,0,0,248,323,0,72,5,0,59,8,0,7
Horseshoe Lake,lakes,255,255,153,0,97,5,0,0,0,0,153,102,0,49,4,0,40,5,0,6
Indian Lake,lakes,102,102,16,0,86,0,0,0,0,0,21,81,0,35,1,0,27,7,0,2
Little Rainbow Lake,lakes,247,247,128,0,114,5,0,0,0,0,100,147,0,52,6,0,37,9,0,1
Long Lake,lakes,417,417,273,0,134,10,0,0,0,0,228,189,0,65,4,0,51,10,0,4
Loon Lake,lakes,118,118,67,0,47,4,0,0,0,0,67,51,0,35,4,0,27,4,0,3
Lost Lake,lakes,148,148,67,0,78,3,0,0,0,0,68,80,0,31,5,0,24,2,0,3
Lost Lake East,lakes,137,137,53,0,83,1,0,0,0,0,49,88,0,41,4,0,28,9,0,2
Lower Sister Lake,lakes,161,161,97,0,60,4,0,0,0,0,95,66,0,37,4,0,29,4,0,2
Oswego Lake,lakes,138,138,58,0,79,1,0,0,0,0,59,79,0,33,4,0,24,5,0,4
Owl Lake,lakes,71,71,9,0,61,1,0,0,0,0,9,62,0,30,2,0,22,6,0,1
Rat Lake,lakes,273,273,167,0,101,5,0,0,0,0,92,181,0,50,4,0,41,5,0,6
Razorback Lake,lakes,179,179,89,0,87,3,0,0,0,0,89,90,0,42,4,0,33,5,0,3
Rock Lake,lakes,43,43,12,0,30,1,0,0,0,0,12,31,0,22,2,0,18,2,0,1
Russian Lake,lakes,61,61,31,0,28,2,0,0,0,0,29,32,0,24,4,0,15,5,0,1
Safford Lake,lakes,225,225,129,0,92,4,0,0,0,0,111,114,0,44,5,0,32,7,0,4
Sand Lake,lakes,82,82,40,0,38,4,0,0,0,0,40,42,0,29,4,0,20,5,0,3
South Lake,lakes,36,36,0,0,36,0,0,0,0,0,0,36,0,22,2,0,13,7,0,0
Squaw Lake,lakes,169,169,54,0,115,0,0,0,0,0,54,115,0,41,3,0,33,5,0,3
Stink Lake,lakes,281,281,149,0,127,5,0,0,0,0,150,131,0,53,4,0,43,6,0,4
Twelfth Tee Lake,lakes,83,83,30,0,51,2,0,0,0,0,30,53,0,31,5,0,23,3,0,3
Twin Lake East,lakes,17,17,3,0,14,0,0,0,0,0,2,15,0,13,2,0,8,3,0,1
Twin Lake West,lakes,60,60,5,0,53,2,0,0,0,0,2,58,0,26,2,0,17,7,0,1
Whipple Lake,lakes,136,136,97,0,24,15,0,0,0,0,84,52,0,32,4,0,22,6,0,2
Wolf Lake,lakes,42,42,7,0,34,1,0,0,0,0,9,33,0,27,2,0,16,9,0,1
Weddell Sea,marine,16041,16041,10829,0,4929,283,0,0,0,0,10485,5556,0,490,3,1,482,4,0,52
Tuesday Lake 1984,lakes,269,269,103,0,166,0,0,0,0,0,89,180,0,50,0,0,37,13,0,5
Tuesday Lake 1986,lakes,241,241,76,0,165,0,0,0,0,0,97,144,0,51,0,0,38,13,0,5
Chilean Intertidal Curaumilla,marine,1340,1340,454,0,873,0,0,0,13,0,217,1123,0,104,2,0,80,22,0,2
Chilean Intertidal El Quisco,marine,1347,1347,451,0,886,0,0,0,10,0,212,1135,0,101,2,0,77,22,0,2
Chilean Intertidal Las Cruces,marine,1357,1357,461,0,881,0,0,0,15,0,222,1135,0,105,2,0,82,21,0,2
Chilean Intertidal Los Molles,marine,1352,1352,461,0,876,0,0,0,15,0,222,1130,0,105,2,0,81,22,0,2
Chesapeake Bay,marine,15821,15749,14855,5,822,135,4,0,0,0,11690,4131,0,609,15,9,545,40,0,65
Carpinteria,terrestrial aboveground,3960,3816,1168,827,0,45,0,0,1920,0,1592,1661,707,263,57,17,161,28,0,2
Scottish Lake,lakes,347,347,105,0,242,0,0,0,0,0,94,253,0,51,0,4,32,15,0,7
Afon Hafren 2005,streams,109,109,29,0,64,16,0,0,0,0,29,80,0,22,2,3,17,0,0,6
Allt a Mharcaidh,streams,267,267,73,0,168,26,0,0,0,0,73,194,0,37,2,5,28,2,0,10
Broadstone Stream,streams,107,107,68,0,18,21,0,0,0,0,68,39,0,23,4,5,13,1,0,8
Dargall Lane,streams,72,72,32,0,28,12,0,0,0,0,32,40,0,20,2,2,15,1,0,6
Duddon Pike Beck,streams,191,191,68,0,100,23,0,0,0,0,68,123,0,31,2,6,19,4,0,8
Hardknott Gill,streams,382,382,123,0,220,39,0,0,0,0,123,259,0,42,2,7,29,4,0,7
Mill Stream,streams,1443,1443,338,0,1044,61,0,0,0,0,338,1105,0,82,2,9,67,4,0,8
Mosendale Beck,streams,85,85,34,0,40,11,0,0,0,0,34,51,0,21,2,3,14,2,0,5
Old Lodge,streams,87,87,28,0,50,9,0,0,0,0,28,59,0,21,2,3,16,0,0,5
Alert,terrestrial aboveground,36,36,15,0,21,0,0,0,0,0,13,23,0,16,8,1,4,3,0,0
Bylot,terrestrial aboveground,32,32,22,0,10,0,0,0,0,0,21,11,0,16,8,1,4,3,0,0
Herschel,terrestrial aboveground,55,55,31,0,24,0,0,0,0,0,30,25,0,23,9,1,10,3,0,0
Nenetsky,terrestrial aboveground,71,71,43,0,28,0,0,0,0,0,42,29,0,24,9,1,10,4,0,0
Svalbard,terrestrial aboveground,21,21,10,0,11,0,0,0,0,0,8,13,0,13,9,0,2,2,0,0
Yamal,terrestrial aboveground,65,64,39,0,26,0,0,0,0,0,38,27,0,22,9,1,8,4,0,0
Zackenberg,terrestrial aboveground,37,37,18,0,19,0,0,0,0,0,16,21,0,17,9,1,5,2,0,0
Gearagh,terrestrial belowground,383,383,261,16,39,38,8,21,0,0,316,67,0,122,5,66,50,1,0,4
Dutch Microfauna food web PlotA,terrestrial belowground,845,845,779,2,0,0,27,37,0,0,779,66,0,96,4,19,32,41,0,0
Dutch Microfauna food web PlotB,terrestrial belowground,589,589,483,42,0,0,36,28,0,0,519,70,0,97,4,17,31,45,0,1
Dutch Microfauna food web PlotC,terrestrial belowground,902,902,832,1,0,0,31,38,0,0,831,71,0,101,4,18,35,44,0,0
Bure Stream,streams,1938,1938,607,0,1331,0,0,0,0,0,586,1352,0,95,8,0,82,5,0,11
Loddon Stream,streams,2552,2552,846,0,1706,0,0,0,0,0,813,1739,0,105,12,0,87,6,0,10
Lyde Stream,streams,2041,2041,481,0,1560,0,0,0,0,0,451,1590,0,110,9,0,96,5,0,11
Test Stream,streams,3195,3195,1249,8,1938,0,0,0,0,0,1223,1972,0,121,12,1,103,5,0,15
Wensum Stream,streams,3504,3504,1277,0,2227,0,0,0,0,0,1247,2257,0,127,11,0,106,10,0,17
Lake Malawi,lakes,142,142,111,0,18,13,0,0,0,0,111,31,0,27,27,0,0,0,0,4
Iceland stream IS7 April 2009,streams,169,169,27,0,109,17,8,8,0,0,27,142,0,30,6,1,20,3,0,0
Iceland stream IS7 August 2008,streams,621,621,41,0,525,27,14,14,0,0,41,580,0,59,5,2,47,5,0,0
Iceland stream IS8  April 2009,streams,216,216,16,0,169,15,8,8,0,0,16,200,0,37,6,1,28,2,0,0
Iceland stream IS8 August 2008,streams,260,260,26,0,201,17,8,8,0,0,26,234,0,43,6,4,30,3,0,1
Caribbean Reef,marine,3313,3311,3151,0,112,49,0,0,1,0,2973,340,0,247,40,0,207,0,0,11
FloridaIslandE1,terrestrial aboveground,3560,3559,2456,121,95,43,0,29,0,816,2838,673,49,210,6,15,112,77,0,10
FloridaIslandE2,terrestrial aboveground,298,298,221,4,31,17,0,9,0,16,241,28,29,59,3,3,33,20,0,2
FloridaIslandE3,terrestrial aboveground,3671,3669,2638,118,95,43,0,29,0,748,2846,759,66,211,6,15,112,78,0,11
FloridaIslandE7,terrestrial aboveground,301,301,239,12,21,13,0,9,0,7,220,54,27,54,3,4,31,16,0,3
FloridaIslandE9,terrestrial aboveground,361,361,261,13,23,12,0,6,0,46,253,84,24,56,3,3,35,15,0,2
Lough Hyne,marine,5068,5052,3747,0,1079,209,33,0,0,0,4464,604,0,346,6,2,335,3,0,13
Blackrock Stream,streams,375,375,42,0,298,35,0,0,0,0,37,338,0,88,5,3,43,37,0,0
Broad Stream,streams,565,565,47,0,490,28,0,0,0,0,47,518,0,96,7,5,50,34,0,1
Canton Creek,streams,708,708,56,0,605,47,0,0,0,0,52,656,0,111,6,4,53,48,0,1
Dempsters Stream,streams,966,966,192,0,736,38,0,0,0,0,181,785,0,111,6,6,58,41,0,1
German Creek,streams,353,353,64,0,253,36,0,0,0,0,63,290,0,87,4,4,42,37,0,1
Healy Creek,streams,634,634,104,0,493,37,0,0,0,0,94,540,0,100,7,5,50,38,0,0
Kye Burn,streams,629,629,57,0,541,31,0,0,0,0,46,583,0,102,9,4,49,40,0,0
Little Kye Burn,streams,371,371,75,0,271,25,0,0,0,0,75,296,0,80,5,4,40,31,0,0
Stony Stream,streams,832,832,69,0,718,45,0,0,0,0,68,764,0,114,9,3,53,49,0,2
Sutton Stream,streams,423,423,25,0,377,21,0,0,0,0,21,402,0,88,3,3,56,26,0,0
AP1,marine,17,17,10,0,7,0,0,0,0,0,16,1,0,13,3,3,6,1,0,2
AP2,marine,40,40,22,0,18,0,0,0,0,0,38,2,0,18,3,4,9,2,0,3
AP3,marine,52,52,32,0,20,0,0,0,0,0,51,1,0,18,4,3,10,1,0,3
AP4,marine,24,24,18,0,6,0,0,0,0,0,23,1,0,12,5,2,5,0,0,3
BP1,marine,91,91,24,0,67,0,0,0,0,0,87,4,0,28,3,3,15,7,0,2
BP2,marine,36,36,9,0,27,0,0,0,0,0,34,2,0,18,3,2,10,3,0,3
BP3,marine,49,49,15,0,34,0,0,0,0,0,47,2,0,22,5,3,12,2,0,3
CGP1,marine,27,27,16,0,11,0,0,0,0,0,24,3,0,18,3,7,8,0,0,3
CGP2,marine,34,34,23,0,11,0,0,0,0,0,31,3,0,18,3,4,10,1,0,4
CGP3,marine,103,103,54,0,49,0,0,0,0,0,101,2,0,31,6,2,20,3,0,4
CR1P1,marine,518,518,216,0,302,0,0,0,0,0,515,3,0,63,6,14,38,5,0,13
CR1P2,marine,487,487,204,0,283,0,0,0,0,0,485,2,0,60,6,12,37,5,0,14
CR1P3,marine,284,284,101,0,183,0,0,0,0,0,284,0,0,42,7,10,22,3,0,9
CR1P4,marine,250,250,61,0,189,0,0,0,0,0,248,2,0,40,5,7,24,4,0,7
CR2P1,marine,373,373,143,0,230,0,0,0,0,0,370,3,0,48,6,11,27,4,0,13
CR2P2,marine,377,377,150,0,227,0,0,0,0,0,375,2,0,55,5,10,35,5,0,13
CR2P3,marine,233,233,88,0,145,0,0,0,0,0,232,1,0,39,5,7,25,2,0,9
CR2P4,marine,151,151,85,0,66,0,0,0,0,0,150,1,0,35,7,9,18,1,0,12
F1P1,marine,244,244,43,0,201,0,0,0,0,0,244,0,0,54,5,7,34,8,0,6
F1P2,marine,257,257,39,0,218,0,0,0,0,0,255,2,0,48,4,7,28,9,0,4
F1P3,marine,218,218,38,0,180,0,0,0,0,0,217,1,0,47,6,5,31,5,0,5
F1P4,marine,295,295,50,0,245,0,0,0,0,0,291,4,0,49,4,9,25,11,0,4
F2P1,marine,362,362,60,0,302,0,0,0,0,0,360,2,0,58,7,10,31,10,0,6
F2P2,marine,179,179,31,0,148,0,0,0,0,0,178,1,0,45,6,6,26,7,0,5
F2P3,marine,266,266,69,0,197,0,0,0,0,0,264,2,0,53,6,13,29,5,0,7
F2P4,marine,257,257,59,0,198,0,0,0,0,0,254,3,0,52,5,8,34,5,0,6
FP1,marine,60,60,21,0,39,0,0,0,0,0,57,3,0,22,3,3,14,2,0,3
FXAP1,marine,380,380,63,0,317,0,0,0,0,0,379,1,0,46,3,5,31,7,0,8
FXAP2,marine,348,348,84,0,264,0,0,0,0,0,348,0,0,45,4,6,32,3,0,10
FXAP3,marine,260,260,61,0,199,0,0,0,0,0,260,0,0,36,4,6,23,3,0,10
FXAP4,marine,139,139,54,0,85,0,0,0,0,0,139,0,0,27,4,5,16,2,0,7
FXBP1,marine,186,186,38,0,148,0,0,0,0,0,185,1,0,31,2,4,22,3,0,7
FXBP2,marine,326,326,66,0,260,0,0,0,0,0,325,1,0,45,3,7,27,8,0,9
FXBP3,marine,378,378,82,0,296,0,0,0,0,0,378,0,0,48,4,7,34,3,0,11
FXBP4,marine,424,424,89,0,335,0,0,0,0,0,424,0,0,49,2,6,36,5,0,10
GJAP1,marine,218,218,60,0,158,0,0,0,0,0,218,0,0,31,4,3,19,5,0,8
GJAP2,marine,147,147,59,0,88,0,0,0,0,0,146,1,0,30,4,4,15,7,0,8
GJAP3,marine,87,87,18,0,69,0,0,0,0,0,87,0,0,23,4,1,15,3,0,3
GJAP4,marine,86,86,25,0,61,0,0,0,0,0,86,0,0,25,4,2,17,2,0,6
GJBP1,marine,379,379,121,0,258,0,0,0,0,0,379,0,0,40,4,5,23,8,0,12
GJBP2,marine,244,244,58,0,186,0,0,0,0,0,244,0,0,33,3,4,20,6,0,7
GJBP3,marine,177,177,53,0,124,0,0,0,0,0,176,1,0,27,3,5,15,4,0,8
GJBP4,marine,94,94,18,0,76,0,0,0,0,0,93,1,0,23,5,3,10,5,0,6
L1P1,marine,465,465,150,0,315,0,0,0,0,0,462,3,0,60,7,10,38,5,0,11
L1P2,marine,294,294,127,0,167,0,0,0,0,0,290,4,0,42,5,11,22,4,0,11
L1P3,marine,391,391,167,0,224,0,0,0,0,0,389,2,0,48,3,12,30,3,0,13
L1P4,marine,316,316,59,0,257,0,0,0,0,0,314,2,0,44,3,13,25,3,0,7
L2P1,marine,320,320,112,0,208,0,0,0,0,0,317,3,0,47,4,13,25,5,0,11
L2P2,marine,451,451,116,0,335,0,0,0,0,0,446,5,0,58,4,14,38,2,0,8
L2P3,marine,108,108,45,0,63,0,0,0,0,0,105,3,0,27,3,3,19,2,0,5
L2P4,marine,260,260,106,0,154,0,0,0,0,0,258,2,0,39,2,9,25,3,0,8
L3P1,marine,214,214,44,0,170,0,0,0,0,0,214,0,0,33,2,1,27,3,0,5
L3P2,marine,105,105,34,0,71,0,0,0,0,0,105,0,0,23,2,1,16,4,0,5
L3P3,marine,464,464,166,0,298,0,0,0,0,0,462,2,0,54,6,11,33,4,0,12
L3P4,marine,265,265,77,0,188,0,0,0,0,0,262,3,0,50,7,10,25,8,0,8
L4P1,marine,490,490,181,0,309,0,0,0,0,0,487,3,0,57,7,10,33,7,0,13
L4P2,marine,460,460,122,0,338,0,0,0,0,0,457,3,0,56,6,13,31,6,0,10
L4P3,marine,238,238,69,0,169,0,0,0,0,0,238,0,0,41,7,10,18,6,0,9
L4P4,marine,292,292,140,0,152,0,0,0,0,0,289,3,0,43,6,8,24,5,0,10
MBP1,marine,215,215,87,0,128,0,0,0,0,0,215,0,0,34,5,8,21,0,0,10
MBP2,marine,92,92,43,0,49,0,0,0,0,0,92,0,0,19,4,6,9,0,0,9
MBP3,marine,353,353,78,0,275,0,0,0,0,0,352,1,0,37,5,9,22,1,0,11
MBP4,marine,162,162,52,0,110,0,0,0,0,0,162,0,0,27,4,7,16,0,0,9
PC1P1,marine,96,96,37,0,59,0,0,0,0,0,96,0,0,22,4,4,13,1,0,8
PC1P2,marine,115,115,59,0,56,0,0,0,0,0,115,0,0,21,4,5,10,2,0,9
PC1P3,marine,120,120,50,0,70,0,0,0,0,0,120,0,0,25,6,5,10,4,0,9
PC1P4,marine,82,82,37,0,45,0,0,0,0,0,82,0,0,17,3,3,10,1,0,7
PC2P1,marine,77,77,26,0,51,0,0,0,0,0,77,0,0,19,2,4,10,3,0,4
PC2P2,marine,176,176,47,0,129,0,0,0,0,0,176,0,0,31,3,4,18,6,0,9
PC2P3,marine,61,61,28,0,33,0,0,0,0,0,61,0,0,18,5,4,7,2,0,7
PC2P4,marine,68,68,17,0,51,0,0,0,0,0,68,0,0,17,3,3,9,2,0,6
PC2P5,marine,33,33,22,0,11,0,0,0,0,0,33,0,0,12,3,3,5,1,0,7
PGSBP1,marine,44,44,27,0,17,0,0,0,0,0,44,0,0,17,5,3,8,1,0,4
PGSBP2,marine,94,94,49,0,45,0,0,0,0,0,93,1,0,29,6,4,16,3,0,5
PGUBP1,marine,48,48,12,0,36,0,0,0,0,0,47,1,0,18,3,2,11,2,0,2
PGUBP2,marine,51,51,15,0,36,0,0,0,0,0,49,2,0,20,3,1,12,4,0,3
PGUBP3,marine,68,68,17,0,51,0,0,0,0,0,67,1,0,21,4,3,11,3,0,3
PGUBP4,marine,54,54,12,0,42,0,0,0,0,0,53,1,0,18,4,3,10,1,0,3
PP1I1,marine,119,119,33,0,86,0,0,0,0,0,119,0,0,27,3,1,20,3,0,6
PP1I2,marine,30,30,6,0,24,0,0,0,0,0,30,0,0,14,4,0,9,1,0,3
PP1I3,marine,24,24,7,0,17,0,0,0,0,0,24,0,0,11,2,0,7,2,0,2
PP1I4,marine,60,60,4,0,56,0,0,0,0,0,60,0,0,18,3,0,12,3,0,2
PP2I1,marine,86,86,18,0,68,0,0,0,0,0,86,0,0,21,5,1,13,2,0,6
PP2I2,marine,69,69,7,0,62,0,0,0,0,0,69,0,0,21,4,0,15,2,0,2
PP2I3,marine,93,93,24,0,69,0,0,0,0,0,93,0,0,23,5,1,14,3,0,7
PP2I4,marine,64,64,8,0,56,0,0,0,0,0,64,0,0,20,4,0,14,2,0,4
PP2M1,marine,47,47,7,0,40,0,0,0,0,0,47,0,0,18,5,0,11,2,0,3
PP2M2,marine,58,58,13,0,45,0,0,0,0,0,58,0,0,19,5,1,11,2,0,5
