id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate mov_walking mov_other mov_flying mov_swimming log_mass
72 0 1 0 1 0 0 0 -3.6100741221474917
73 0 1 0 0 0 1 0 -3.763908849943544
74 0 1 0 0 0 0 1 -3.1283260910515565
75 0 1 0 0 0 1 0 -3.454910704043071
76 0 1 0 1 0 0 0 -0.7079802912495725
77 0 1 0 0 0 1 0 -1.7937290535250852
78 0 1 0 1 0 0 0 -3.712753805804977
79 0 1 0 1 0 0 0 -2.6374788853146867
80 0 1 0 1 0 0 0 -3.555121783933263
81 0 1 0 0 0 1 0 -2.451111338134304
82 0 1 0 1 0 0 0 -3.0516716516369544
83 0 1 0 1 0 0 0 -1.755021250241618
84 0 1 0 0 0 1 0 -3.177544230440442
85 0 1 0 1 0 0 0 -3.134906097789716
86 0 1 0 1 0 0 0 -3.34251389224094
87 0 1 0 1 0 0 0 -1.9352654981607451
88 0 1 0 1 0 0 0 -2.382187113886413
89 0 1 0 1 0 0 0 -2.342902154618591
90 0 1 0 1 0 0 0 -3.4616047456183106
91 0 1 0 1 0 0 0 -3.119181836222407
92 0 1 0 1 0 0 0 -1.994394370274338
93 0 1 0 1 0 0 0 -4.530177984021837
94 0 1 0 1 0 0 0 -2.9899630747339545
95 0 1 0 1 0 0 0 -2.4189025946349605
96 0 1 0 1 0 0 0 -2.4189025946349605
97 0 1 0 0 0 1 0 -3.7539719134579275
98 0 1 0 1 0 0 0 -1.0520917398738157
99 0 1 0 1 0 0 0 -2.420212060460085
100 0 1 0 0 0 1 0 -1.6070014662641792
101 0 1 0 0 0 1 0 -2.8808791062016255
102 0 1 0 0 0 1 0 -2.30364282481862
103 0 1 0 0 0 1 0 -1.797333152135074
104 0 1 0 1 0 0 0 -3.302396697140269
105 0 1 0 1 0 0 0 -1.9632942317384154
106 0 1 0 0 0 1 0 -3.4244553947452534
107 0 1 0 1 0 0 0 -2.6964436924358632
108 0 1 0 1 0 0 0 -1.9175087933089683
109 0 1 0 1 0 0 0 -2.374956647977741
110 0 1 0 0 0 1 0 -3.5754842391124795
111 0 1 0 0 0 1 0 -2.6861827474529396
112 0 1 0 0 1 0 0 -2.2744544068547365
113 0 1 0 1 0 0 0 -3.119181836222407
114 0 1 0 1 0 0 0 -1.3344999753987798
115 1 0 0 1 0 0 0 1.5440680443502757
116 0 1 0 0 0 1 0 -2.9222717253371355
117 0 1 0 0 0 1 0 -2.9222717253371355
118 0 1 0 0 1 0 0 -1.0620022420848803
119 0 1 0 0 0 1 0 -3.6723938436052093
120 0 1 0 1 0 0 0 -0.8225964722497702
121 0 1 0 1 0 0 0 -1.039354835685097
122 0 1 0 1 0 0 0 -2.341030871555904
123 0 1 0 1 0 0 0 -3.0128984167655033
124 0 1 0 1 0 0 0 -2.231816036734928
125 0 1 0 1 0 0 0 -3.4162821972094815
126 0 1 0 0 0 1 0 -3.933018468200503
127 0 1 0 1 0 0 0 -2.6374788853146867
128 0 1 0 1 0 0 0 -4.530177984021837
129 0 1 0 1 0 0 0 -3.6272021063325264
130 0 1 0 1 0 0 0 -1.8968242028017743
131 0 1 0 0 0 1 0 -4.274088367704952
132 0 1 0 0 0 1 0 -2.213756545187264
133 0 1 0 1 0 0 0 -2.13235264422998
134 0 1 0 0 0 1 0 -3.128326091051556
135 0 1 0 1 0 0 0 -3.0128984167655033
136 0 1 0 1 0 0 0 -2.8083922318429666
137 0 1 0 1 0 0 0 -2.4616047456183106
138 0 1 0 1 0 0 0 -3.543574748933647
139 0 1 0 1 0 0 0 -2.8083922318429666
140 0 1 0 1 0 0 0 -2.9126015972337274
141 0 1 0 1 0 0 0 -4.530177984021837
142 0 1 0 1 0 0 0 -1.621241911235645
143 0 1 0 1 0 0 0 -0.90646527989345
144 0 1 0 1 0 0 0 -1.734133019101279
145 0 1 0 1 0 0 0 -1.8348031727927256
146 0 1 0 1 0 0 0 -3.4616047456183106
147 0 1 0 1 0 0 0 -2.4616047456183106
148 0 1 0 1 0 0 0 -3.041648777245868
149 0 1 0 1 0 0 0 -1.7758630329367828
150 0 1 0 0 0 1 0 -3.2744542434484982
151 0 1 0 1 0 0 0 -1.7875675278817198
152 0 1 0 1 0 0 0 -1.1125321800688956
153 0 1 0 1 0 0 0 -2.92823247013955
154 0 1 0 1 0 0 0 -1.235917942544284
155 0 1 0 1 0 0 0 -1.2334130609826526
156 0 1 0 1 0 0 0 -1.4898651896142554
157 0 1 0 1 0 0 0 -3.5435747489336467
