id met_invertebrate met_primary_producer met_detritus met_ectotherm_vertebrate met_other met_heterotrophic_bacteria met_endotherm_vertebrate mov_walking mov_swimming mov_sessile mov_other_nonliving mov_flying log_mass mass_missing
62 0 0 0 1 0 0 0 0 1 0 0 0 2.2289529542182227 0
63 0 0 0 1 0 0 0 0 1 0 0 0 4.083089227060862 0
64 1 0 0 0 0 0 0 0 1 0 0 0 -2.130629386935623 0
65 1 0 0 0 0 0 0 0 1 0 0 0 -2.300661310391345 0
66 0 0 0 1 0 0 0 0 1 0 0 0 0.3455842960549611 0
67 0 0 0 1 0 0 0 0 1 0 0 0 1.193726266657126 0
68 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
69 0 0 0 1 0 0 0 0 1 0 0 0 0.885154578746372 0
70 0 0 0 1 0 0 0 0 1 0 0 0 0.9884519492761663 0
71 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
72 1 0 0 0 0 0 0 0 1 0 0 0 -2.762792417222378 0
73 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
74 1 0 0 0 0 0 0 0 1 0 0 0 -3.02516374393773 0
75 0 0 0 1 0 0 0 0 1 0 0 0 2.590507462008583 0
76 0 0 0 1 0 0 0 0 1 0 0 0 2.2834094527126316 0
77 0 0 0 1 0 0 0 0 1 0 0 0 3.0627323632053938 0
78 0 0 0 1 0 0 0 0 1 0 0 0 3.1858196973272643 0
79 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
80 1 0 0 0 0 0 0 0 1 0 0 0 -2.6897920093863745 0
81 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
82 1 0 0 0 0 0 0 0 1 0 0 0 -2.2969099920009577 0
83 1 0 0 0 0 0 0 0 1 0 0 0 -1.9090580222456157 0
84 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
85 1 0 0 0 0 0 0 0 1 0 0 0 -1.0793644614152076 0
86 1 0 0 0 0 0 0 0 1 0 0 0 -0.9251637350684431 0
87 1 0 0 0 0 0 0 0 1 0 0 0 -0.9251637350684431 0
88 1 0 0 0 0 0 0 0 1 0 0 0 -3.7202486686893774 0
89 1 0 0 0 0 0 0 0 1 0 0 0 -3.7202486686893774 0
90 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
91 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
92 0 0 0 1 0 0 0 0 1 0 0 0 4.069904785782856 0
93 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
94 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
95 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
