id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate mov_flying mov_walking mov_other mov_swimming log_mass
59 0 1 0 0 1 0 0 -2.410630105216664
60 0 1 0 0 1 0 0 -3.3925900170670653
61 0 1 0 0 1 0 0 -2.8261208707597847
62 0 1 0 0 1 0 0 -2.6856304692394426
63 0 1 0 0 1 0 0 -3.4616047456183106
64 0 1 0 1 0 0 0 -3.5380575013095994
65 0 1 0 0 0 0 1 -3.1283260910515565
66 0 1 0 1 0 0 0 -3.0689791863454636
67 0 1 0 0 1 0 0 -3.5867220350305633
68 0 1 0 1 0 0 0 -2.451111338134304
69 0 1 0 0 1 0 0 -3.017560058231672
70 0 1 0 1 0 0 0 -3.0440055143128637
71 0 1 0 0 1 0 0 -3.421695520548152
72 0 1 0 0 1 0 0 -0.9716462946727313
73 0 1 0 0 1 0 0 -2.287854574623353
74 1 0 0 1 0 0 0 2.322219294733919
75 0 0 1 0 1 0 0 2.0
76 1 0 0 0 1 0 0 3.6989700043360187
77 0 1 0 0 1 0 0 -4.462180904926726
78 0 1 0 0 1 0 0 -2.4189025946349605
79 0 1 0 0 1 0 0 -3.4616047456183106
80 0 1 0 1 0 0 0 -2.8765142347764607
81 0 1 0 0 1 0 0 -3.0704477408025923
82 0 1 0 1 0 0 0 -2.646065505640826
83 0 1 0 0 1 0 0 -3.265673913664899
84 0 1 0 0 1 0 0 -2.3448555120112538
85 0 1 0 0 1 0 0 -1.9483871764008183
86 0 1 0 1 0 0 0 -3.0394455111158076
87 0 1 0 0 1 0 0 -1.5742278467498683
88 0 1 0 1 0 0 0 -3.098362984392817
89 0 1 0 0 1 0 0 -3.246760989557622
90 0 1 0 0 1 0 0 -3.4616047456183106
91 1 0 0 0 1 0 0 1.5440680443502757
92 0 1 0 1 0 0 0 -2.8367038237576585
93 0 1 0 1 0 0 0 -2.8367038237576585
94 0 1 0 0 0 1 0 -1.050309204660735
95 0 1 0 1 0 0 0 -3.6723938436052093
96 0 1 0 0 1 0 0 -0.5736502481353907
97 0 1 0 0 1 0 0 -2.2715831483880247
98 0 1 0 0 1 0 0 -2.8261208707597847
99 0 1 0 0 1 0 0 -2.9187794699500964
100 0 1 0 0 1 0 0 -2.65883107971952
101 0 1 0 0 1 0 0 -1.970243092337448
102 0 1 0 0 1 0 0 -4.530177984021837
103 0 1 0 1 0 0 0 -3.1283260910515565
104 0 1 0 0 1 0 0 -2.8261208707597847
105 0 1 0 0 1 0 0 -2.32721622152707
106 0 1 0 0 1 0 0 -3.1605747499543293
107 0 1 0 0 0 0 1 -3.1283260910515565
108 0 1 0 1 0 0 0 -2.672394456378343
109 0 1 0 0 1 0 0 -3.753183938970722
110 0 1 0 1 0 0 0 -3.2744542434484982
111 0 1 0 1 0 0 0 -1.9734244111907553
112 0 1 0 1 0 0 0 -2.144120656515983
113 0 1 0 0 1 0 0 -4.530177984021837
114 0 1 0 0 1 0 0 -1.8211360702599437
115 0 1 0 0 1 0 0 -3.4616047456183106
116 0 1 0 0 1 0 0 -3.1605747499543293
117 0 1 0 0 1 0 0 -3.1605747499543293
118 0 1 0 0 1 0 0 -4.015922966097169
119 0 1 0 0 1 0 0 -2.859544754290348
120 0 1 0 0 1 0 0 -1.6574653448598695
121 0 1 0 0 1 0 0 -2.5760501565522347
122 0 1 0 0 1 0 0 -0.44194242548573226
123 0 1 0 0 1 0 0 -3.1378107583813515
