id met_invertebrate met_primary_producer met_detritus met_heterotrophic_bacteria met_ectotherm_vertebrate met_endotherm_vertebrate mov_swimming mov_other mov_other_nonliving mov_sessile mov_walking log_mass mass_missing
67 0 0 0 0 0 1 0 0 0 0 1 3.603111880545758 0
68 0 0 0 0 1 0 1 0 0 0 0 4.004321373782642 0
69 0 0 0 0 1 0 1 0 0 0 0 2.9804578922761 0
70 0 0 0 0 0 1 1 0 0 0 0 5.238046103128795 0
71 0 0 0 0 1 0 1 0 0 0 0 2.1235576580039495 0
72 0 0 0 0 0 1 1 0 0 0 1 3.4097133857172994 0
73 0 0 0 0 0 1 1 0 0 0 1 3.6324977839550114 0
74 0 0 0 0 1 0 1 0 0 0 0 3.3042319421856736 0
75 0 0 0 0 1 0 1 0 0 0 0 4.670245853074124 0
76 0 0 0 0 1 0 1 0 0 0 0 3.9030899869919438 0
77 0 0 0 0 1 0 1 0 0 0 0 4.3080305542661055 0
78 0 0 0 0 1 0 1 0 0 0 0 1.7672894745994328 0
79 1 0 0 0 0 0 1 0 0 0 0 -2.130627450840593 0
80 0 0 0 0 1 0 1 0 0 0 0 2.1178345185437473 0
81 0 0 0 0 1 0 1 0 0 0 0 3.6532125137753435 0
82 0 0 0 0 1 0 1 0 0 0 0 0.5932860670204572 0
83 0 0 0 0 1 0 1 0 0 0 0 3.6384892569546374 0
84 0 0 0 0 1 0 1 0 0 0 0 3.0 0
85 0 0 0 0 1 0 1 0 0 0 0 3.1335389083702174 0
86 0 0 0 0 1 0 1 0 0 0 0 2.540929812840949 0
87 1 0 0 0 0 0 1 0 0 0 0 -2.209982393088632 0
88 1 0 0 0 0 0 1 0 0 0 0 -2.911013881052087 0
89 0 0 0 0 1 0 1 0 0 0 0 3.8194781283621224 0
90 0 0 0 0 0 1 1 0 0 0 0 4.004321373782642 0
91 1 0 0 0 0 0 0 1 0 1 0 -0.662800394626419 0
92 1 0 0 0 0 0 0 0 0 0 1 -0.2729551307262504 0
93 1 0 0 0 0 0 0 0 0 0 1 -1.2238292986827979 0
94 0 0 0 0 0 1 0 0 0 0 1 2.995244592645209 0
95 0 0 0 0 0 1 1 0 0 0 1 3.374198257929083 0
96 0 0 0 0 0 1 1 0 0 0 1 3.3010299956639813 0
97 1 0 0 0 0 0 0 0 0 1 0 -0.19691178157891281 0
98 1 0 0 0 0 0 0 0 0 0 1 -2.622202166888774 0
99 1 0 0 0 0 0 1 0 0 0 0 -2.9290759685238497 0
100 1 0 0 0 0 0 0 0 0 0 1 -0.10998719740764104 0
101 1 0 0 0 0 0 1 0 0 0 0 -2.7627831109919985 0
102 1 0 0 0 0 0 1 0 0 0 0 -2.057629772353201 0
103 1 0 0 0 0 0 1 0 0 0 0 -2.5004228792715124 0
104 1 0 0 0 0 0 0 0 0 0 1 0.4352549303958978 0
105 0 0 0 0 1 0 1 0 0 0 0 2.7116301019716644 0
106 1 0 0 0 0 0 0 0 0 0 1 -0.19691178157891281 0
107 0 0 0 0 1 0 1 0 0 0 0 2.371455781913017 0
108 1 0 0 0 0 0 1 0 0 0 0 -2.057629772353201 0
109 1 0 0 0 0 0 1 0 0 0 0 -2.825707544897292 0
110 1 0 0 0 0 0 1 0 0 0 0 -2.7627831109919985 0
111 0 0 0 0 1 0 1 0 0 0 0 3.6020599913279625 0
112 0 0 0 0 1 0 1 0 0 0 0 1.4360035356698966 0
113 1 0 0 0 0 0 0 0 0 0 1 -0.19691178157891281 0
114 0 0 0 0 1 0 1 0 0 0 0 1.1696744340588068 0
115 0 0 0 0 1 0 1 0 0 0 0 1.6734816970733473 0
116 0 0 0 0 1 0 1 0 0 0 0 3.294972974720408 0
117 1 0 0 0 0 0 0 0 0 0 1 -0.030630688266472594 0
118 0 0 0 0 1 0 1 0 0 0 0 1.8462752424122133 0
119 0 0 0 0 1 0 1 0 0 0 0 1.8929289823552058 0
120 0 0 0 0 1 0 1 0 0 0 0 1.3628593029586802 0
121 1 0 0 0 0 0 0 0 0 0 1 -0.1524150031217212 0
122 1 0 0 0 0 0 0 0 0 0 1 -0.6477209827255022 0
123 0 0 0 0 1 0 1 0 0 0 0 1.3304137733491908 0
124 1 0 0 0 0 0 0 0 0 0 1 -0.19691178157891295 0
125 1 0 0 0 0 0 1 0 0 0 0 0.4797480147697499 0
