id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other_nonliving mov_sessile mov_floating mov_walking log_mass mass_missing
47 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
48 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
49 0 0 1 0 0 0 0 1 0 -7.929079206781836 1
50 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
51 0 0 1 0 0 0 0 1 0 -8.836510641807301 1
52 0 0 1 0 0 0 0 1 0 -8.836510641807301 1
53 0 0 1 0 0 0 0 1 0 -8.03413362010073 1
54 0 0 1 0 0 0 0 1 0 -9.055681864499613 1
55 0 0 1 0 0 0 0 1 0 -9.109998386815363 1
56 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
57 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
58 0 0 1 0 0 0 0 1 0 -8.814960988871428 1
59 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
60 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
61 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
62 1 0 0 0 0 0 0 0 1 -3.680712762084928 0
63 1 0 0 0 0 0 0 0 1 -4.436518914605589 0
64 0 0 1 0 0 0 1 0 0 -4.71669877129645 1
65 1 0 0 0 1 0 0 0 0 -3.173872048092542 0
66 1 0 0 0 1 0 0 0 0 -3.4989708791392222 0
67 0 0 1 0 0 0 0 1 0 -8.416726717144723 1
68 0 0 1 0 0 0 0 1 0 -8.648010544564368 1
69 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
70 0 0 1 0 0 0 1 0 0 -4.71669877129645 1
71 1 0 0 0 1 0 0 0 0 -3.005105492006199 0
72 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
73 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
74 0 0 1 0 0 0 0 1 0 -7.889410289700751 1
75 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
76 0 0 1 0 0 0 0 1 0 -9.045275209020938 1
77 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
78 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
79 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
80 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
81 1 0 0 0 0 0 0 0 1 -3.3459467343609224 0
82 0 0 1 0 0 0 0 1 0 -8.363404653772209 1
83 0 0 1 0 0 0 0 1 0 -8.292855811657555 1
84 0 0 1 0 0 0 0 1 0 -9.834162375309871 1
85 0 0 1 0 0 0 0 1 0 -7.949523572734937 1
86 0 0 1 0 0 0 0 1 0 -7.949523572734937 1
87 0 0 1 0 0 0 0 1 0 -7.529272063769566 1
88 0 0 1 0 0 0 0 1 0 -8.537482213248566 1
89 0 0 1 0 0 0 0 1 0 -8.528209723454808 1
90 1 0 0 0 0 0 0 1 0 -2.921868525074805 1
91 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
92 0 1 0 0 0 1 0 0 0 -4.71669877129645 1
93 1 0 0 0 1 0 0 0 0 -3.025547261098106 0
94 0 0 1 0 0 0 1 0 0 -4.71669877129645 1
