,food.web,eco.type,node,genus,taxonomy.level,mov.type,met.type,new.mass,species.other,genus.other,met.mov.same,met.same,mov.same,met.other,mov.other
78,Chilean Intertidal Curaumilla,marine,peysonella spp._NA,peysonella,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
79,Chilean Intertidal Curaumilla,marine,plocamium cartilageneum_NA,plocamium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
80,Chilean Intertidal Curaumilla,marine,polysiphonia_spp_NA,polysiphonia_spp_NA,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
81,Chilean Intertidal Curaumilla,marine,porphyra_spp_NA,porphyra_spp_NA,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
82,Chilean Intertidal Curaumilla,marine,Prionitis decipiens_NA,Prionitis,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
83,Chilean Intertidal Curaumilla,marine,ralfsia spp._NA,ralfsia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
84,Chilean Intertidal Curaumilla,marine,rama novazelandensis_NA,rama,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
85,Chilean Intertidal Curaumilla,marine,rhizoclonium cilindricum_NA,rhizoclonium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
86,Chilean Intertidal Curaumilla,marine,Rhodymenia skottsbergii_NA,Rhodymenia,genus,sessile,primary producer,0.00022799999999999996,0,1,0,0,0,0,0
87,Chilean Intertidal Curaumilla,marine,Sarcothalia crispata_NA,Sarcothalia,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
88,Chilean Intertidal Curaumilla,marine,schottera nicaensis_NA,schottera,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
89,Chilean Intertidal Curaumilla,marine,schyzimenia doryophora_NA,schyzimenia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
90,Chilean Intertidal Curaumilla,marine,scythosiphon lomentaria_NA,scythosiphon,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
91,Chilean Intertidal Curaumilla,marine,Trematocarpus dichotomus_NA,Trematocarpus,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
92,Chilean Intertidal Curaumilla,marine,ulva rigida_NA,ulva,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
93,Chilean Intertidal Curaumilla,marine,ulvella spp._NA,ulvella,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
94,Chilean Intertidal Curaumilla,marine,petrolisthes punctatus_adults,petrolisthes,species,walking,invertebrate,11.547752941176473,0,0,1,0,0,0,0
95,Chilean Intertidal Curaumilla,marine,petrolisthes spinifrons_adults,petrolisthes,species,walking,invertebrate,11.547752941176473,0,0,1,0,0,0,0
96,Chilean Intertidal Curaumilla,marine,petrolisthes angulosus_adults,petrolisthes,species,walking,invertebrate,11.547752941176473,0,0,1,0,0,0,0
97,Chilean Intertidal Curaumilla,marine,petrolisthes tuberculatus_adults,petrolisthes,species,walking,invertebrate,11.547752941176473,0,0,1,0,0,0,0
98,Chilean Intertidal Curaumilla,marine,trimusculus peruvianus_adults,trimusculus,species,walking,invertebrate,11.547752941176473,0,0,1,0,0,0,0
99,Chilean Intertidal El Quisco,marine,adenocystis utricularis_NA,adenocystis,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
100,Chilean Intertidal El Quisco,marine,ahnfeltiopsis spp._NA,ahnfeltiopsis,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
101,Chilean Intertidal El Quisco,marine,bryopsis_spp_NA,bryopsis_spp_NA,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
102,Chilean Intertidal El Quisco,marine,centroceras spp._NA,centroceras,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
103,Chilean Intertidal El Quisco,marine,ceramium spp._NA,ceramium,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
104,Chilean Intertidal El Quisco,marine,chaetomorpha_spp_NA,chaetomorpha_spp_NA,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
105,Chilean Intertidal El Quisco,marine,chondrus  canaliculatus_NA,chondrus,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
106,Chilean Intertidal El Quisco,marine,cladophora spp._NA,cladophora,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
107,Chilean Intertidal El Quisco,marine,codium dimorpha_NA,codium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
108,Chilean Intertidal El Quisco,marine,colpomenia phaeodactyla_NA,colpomenia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
109,Chilean Intertidal El Quisco,marine,colpomenia sinuosa_NA,colpomenia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
110,Chilean Intertidal El Quisco,marine,corallina offcinalis var. chilensis_NA,corallina,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
111,Chilean Intertidal El Quisco,marine,durvillaea antarctica_NA,durvillaea,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
