id met_invertebrate met_endotherm_vertebrate met_ectotherm_vertebrate mov_flying mov_walking mov_swimming log_mass
124 1 0 0 1 0 0 -2.8987906294876127
125 1 0 0 1 0 0 -2.8987906294876127
126 1 0 0 1 0 0 -1.1441808486652707
127 1 0 0 1 0 0 -2.7973332610726
128 1 0 0 0 1 0 -1.743103090403388
129 1 0 0 0 1 0 -0.7888930406729021
130 1 0 0 0 1 0 -0.38994360107114573
131 1 0 0 0 1 0 -0.6009362970093278
132 1 0 0 0 1 0 -2.3023970456710776
133 1 0 0 0 1 0 -2.676987498399928
134 1 0 0 0 1 0 -3.6120267600069793
135 1 0 0 1 0 0 -2.0440055143128637
136 1 0 0 0 1 0 -3.832195465231229
137 1 0 0 0 1 0 -3.2414968696286603
138 1 0 0 1 0 0 -3.2292628339468856
139 1 0 0 1 0 0 -2.973424247784517
140 1 0 0 0 1 0 -2.5435744452727267
141 1 0 0 0 1 0 -0.49577260502627596
142 1 0 0 0 1 0 -3.0709976858140506
143 1 0 0 0 1 0 -4.530177984021837
144 1 0 0 1 0 0 -3.1283260910515565
145 1 0 0 0 1 0 -2.5606715701728557
146 1 0 0 0 0 1 -3.1283260910515565
147 1 0 0 1 0 0 -2.7973332610726
148 1 0 0 1 0 0 -2.7303864325357243
149 1 0 0 1 0 0 -1.6212419112356453
150 1 0 0 1 0 0 -3.1792850495167304
151 1 0 0 1 0 0 -1.9420159735401525
152 1 0 0 0 1 0 -4.530177984021837
153 1 0 0 1 0 0 -3.3879635607191894
154 1 0 0 0 1 0 -0.6201950751655698
155 1 0 0 0 1 0 -3.8404388219670653
156 1 0 0 0 1 0 -0.8753469798074727
157 1 0 0 0 1 0 -1.8196095554465563
158 1 0 0 0 1 0 -0.38222272165668925
159 1 0 0 1 0 0 -3.8765142347764607
160 1 0 0 0 1 0 -2.9632940720996155
161 1 0 0 0 1 0 -4.467245621007502
162 1 0 0 0 1 0 -3.5357773111746496
163 1 0 0 1 0 0 -4.053056729302175
164 1 0 0 1 0 0 -4.053056729302175
165 1 0 0 0 1 0 -3.154108546690116
166 1 0 0 1 0 0 -1.9320317483152039
167 1 0 0 0 1 0 -0.7543738629011334
168 1 0 0 0 1 0 -1.2581586337851094
169 1 0 0 0 1 0 -1.2764392561890843
