id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_walking mov_other mov_swimming mov_floating mov_sessile log_mass
74 0 1 0 0 1 0 0 0 -7.164943898279883
75 0 1 0 0 1 0 0 0 -7.164943898279883
76 1 0 0 1 0 0 0 0 -4.647817481888637
77 0 1 0 0 1 0 0 0 -8.193141970481182
78 1 0 0 0 0 1 0 0 -3.561296304004578
79 0 1 0 0 1 0 0 0 -8.452225294612177
80 0 1 0 0 1 0 0 0 -8.522878745280337
81 0 1 0 0 1 0 0 0 -7.889410289700751
82 0 1 0 0 1 0 0 0 -8.306273051076353
83 0 1 0 0 1 0 0 0 -7.889410289700751
84 0 1 0 0 1 0 0 0 -7.950781977329818
85 0 1 0 0 1 0 0 0 -7.889410289700751
86 0 1 0 0 1 0 0 0 -8.447331783887806
87 0 1 0 0 1 0 0 0 -7.889410289700751
88 0 1 0 0 1 0 0 0 -7.889410289700751
89 0 1 0 0 1 0 0 0 -8.954677021213342
90 0 1 0 0 1 0 0 0 -7.889410289700751
91 0 1 0 0 1 0 0 0 -7.607303046740334
92 0 1 0 0 1 0 0 0 -7.431798275933005
93 0 1 0 0 1 0 0 0 -8.221848749616356
94 0 1 0 0 1 0 0 0 -9.327902142064282
95 0 1 0 0 1 0 0 0 -8.221848749616356
96 0 1 0 0 1 0 0 0 -8.221848749616356
97 0 1 0 0 1 0 0 0 -8.221848749616356
98 0 1 0 0 1 0 0 0 -8.301029995663981
99 0 1 0 0 1 0 0 0 -7.694648630553377
100 0 1 0 0 1 0 0 0 -8.221848749616356
101 1 0 0 1 0 0 0 0 -4.055517327849832
102 1 0 0 1 0 0 0 0 -2.053539628887293
103 1 0 0 0 0 0 0 1 -2.323390880298689
104 0 1 0 0 1 0 0 0 -8.60906489289662
105 1 0 0 0 0 0 0 1 -1.3694422730489548
106 0 1 0 0 1 0 0 0 -8.0
107 0 1 0 0 1 0 0 0 -8.684029654543082
108 0 1 0 0 1 0 0 0 -8.684029654543082
109 0 1 0 0 0 0 1 0 -7.812479279163537
