id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate met_primary_producer met_detritus mov_flying mov_walking mov_other mov_swimming mov_sessile mov_other_nonliving log_mass mass_missing
40 0 0 1 0 0 0 0 0 1 0 0 0.4137383258805972 0
41 1 0 0 0 0 1 0 0 0 0 0 2.3820170425748683 0
42 1 0 0 0 0 1 0 0 0 0 0 2.1690863574870227 0
43 1 0 0 0 0 1 0 0 0 0 0 2.6015167836500104 0
44 1 0 0 0 0 1 0 0 0 0 0 2.8680563618230415 0
45 1 0 0 0 0 1 0 0 0 0 0 2.681241237375587 0
46 1 0 0 0 0 1 0 0 0 0 0 2.7147487607250596 0
47 1 0 0 0 0 1 0 0 0 0 0 2.32479671762173 0
48 1 0 0 0 0 1 0 0 0 0 0 2.8165726960261033 0
49 0 0 1 0 0 0 0 0 1 0 0 3.1189107157382616 0
50 0 1 0 0 0 0 0 1 0 0 0 -6.47755576649368 0
51 0 1 0 0 0 0 0 0 0 1 0 0.8193056116034437 0
52 0 1 0 0 0 0 0 0 0 1 0 -2.4900706765238954 0
53 0 1 0 0 0 0 0 0 0 1 0 1.2707271763682029 0
54 0 1 0 0 0 0 0 0 0 1 0 0.8175335201299478 0
55 0 1 0 0 0 0 0 0 0 1 0 1.3027523989340632 0
56 0 1 0 0 0 0 0 0 0 1 0 0.9915854244333496 0
57 1 0 0 0 0 1 0 0 0 0 0 1.7113853790984517 0
58 1 0 0 0 0 1 0 0 0 0 0 1.320146286111054 0
59 0 1 0 0 0 0 0 0 0 1 0 -2.5399023564916776 0
60 0 1 0 0 0 0 1 0 0 0 0 -2.7147218092458085 0
61 1 0 0 0 0 1 0 0 0 0 0 1.67163559660213 0
62 1 0 0 0 0 1 0 0 0 0 0 2.5652573434202135 0
63 0 1 0 0 0 0 0 1 0 0 0 -2.7898367086509364 0
64 1 0 0 0 0 1 0 0 0 0 0 2.3531465462139796 0
65 0 1 0 0 0 0 0 0 1 0 0 -4.4723700991286615 0
66 0 1 0 0 0 0 0 0 1 0 0 0.913505717087949 0
67 0 1 0 0 0 0 0 1 0 0 0 -5.575118363368933 0
68 0 1 0 0 0 0 1 0 0 0 0 0.08412205083254577 0
69 1 0 0 0 0 1 0 0 0 0 0 2.9777236052888476 0
70 1 0 0 0 0 1 0 0 0 0 0 1.9777236052888478 0
71 1 0 0 0 0 1 0 0 0 0 0 2.8776592441116087 0
72 0 0 1 0 0 0 0 0 1 0 0 2.669502834104343 0
73 0 1 0 0 0 0 0 1 0 0 0 -5.882728704344236 0
74 0 0 0 1 0 0 0 0 0 1 0 1.3764150684055454 1
75 1 0 0 0 0 1 0 0 0 0 0 2.8129133566428557 0
76 0 1 0 0 0 0 1 0 0 0 0 -2.2417802008547825 0
77 0 0 1 0 0 0 0 0 1 0 0 0.5656484990428461 0
78 0 1 0 0 0 0 1 0 0 0 0 -0.4500384468597823 0
79 0 1 0 0 0 0 0 0 1 0 0 -4.440093374963888 0
80 0 1 0 0 0 0 0 0 1 0 0 -2.6635402661514704 0
81 0 1 0 0 0 0 0 1 0 0 0 -6.586700235918748 0
82 0 1 0 0 0 0 1 0 0 0 0 -5.08196966321512 0
83 0 0 0 0 1 0 0 0 0 0 1 -7.274905478918531 1
84 0 1 0 0 0 0 1 0 0 0 0 -0.6770671462131165 0
85 0 1 0 0 0 0 1 0 0 0 0 -2.614747740226984 0
86 0 1 0 0 0 0 1 0 0 0 0 -2.4430718422407645 0
87 0 1 0 0 0 0 1 0 0 0 0 0.2698172499938281 0
88 0 1 0 0 0 1 0 0 0 0 0 -2.025867962717524 0
89 0 1 0 0 0 0 1 0 0 0 0 -1.9827658459381745 0
90 0 1 0 0 0 0 0 0 1 0 0 -2.1639748020018925 0
91 0 1 0 0 0 0 0 0 0 1 0 -2.025867962717524 0
92 0 0 0 1 0 0 0 1 0 0 0 -3.916560341542164 1
93 0 1 0 0 0 1 0 0 0 0 0 -1.4719066694597631 0
94 0 1 0 0 0 0 0 0 1 0 0 -1.3469679972181297 0
95 0 1 0 0 0 0 0 0 0 1 0 -1.3469679972181297 0
96 0 0 0 1 0 0 0 0 0 1 0 -7.274905478918531 1
97 0 1 0 0 0 0 0 0 1 0 0 -4.614393726401688 0
98 0 1 0 0 0 0 0 0 1 0 0 -2.443071842240765 0
99 0 1 0 0 0 0 1 0 0 0 0 -2.3362585674697187 0
100 0 1 0 0 0 0 0 1 0 0 0 -6.370590400897281 0
101 0 0 0 1 0 0 0 0 0 1 0 1.3764150684055454 1
