id met_primary_producer met_invertebrate met_detritus met_other met_ectotherm_vertebrate met_endotherm_vertebrate mov_sessile mov_swimming mov_other_nonliving mov_walking log_mass mass_missing
257 0 1 0 0 0 0 0 1 0 0 2.5185139398778875 0
258 0 0 0 0 1 0 0 1 0 0 3.934498451243568 0
259 0 0 0 0 1 0 0 1 0 0 1.9084850188786497 0
260 0 0 0 0 0 1 0 1 0 0 3.6020599913279625 0
261 0 0 0 0 1 0 0 1 0 0 2.4771212547196626 0
262 0 1 0 0 0 0 0 1 0 0 2.886490725172482 0
263 0 0 0 0 0 1 0 1 0 0 2.7781512503836434 0
264 0 1 0 0 0 0 0 0 0 1 0.6812412373755872 0
265 0 1 0 0 0 0 0 0 0 1 0.6812412373755872 0
266 0 1 0 0 0 0 0 1 0 0 -1.0705810742857071 0
267 0 1 0 0 0 0 0 1 0 0 1.9030899869919435 0
268 0 1 0 0 0 0 0 1 0 0 0.34242268082220617 0
269 0 1 0 0 0 0 0 1 0 0 0.4313637641589874 0
270 0 1 0 0 0 0 1 0 0 0 0.3617278360175928 0
271 0 1 0 0 0 0 1 0 0 0 -1.0705810742857074 0
272 0 1 0 0 0 0 1 0 0 0 -2.769551078621726 0
273 0 1 0 0 0 0 0 0 0 1 -3.318758762624413 0
274 0 1 0 0 0 0 0 1 0 0 -1.7695510786217261 0
275 0 1 0 0 0 0 0 1 0 0 -2.2839966563652006 0
276 0 1 0 0 0 0 0 1 0 0 -0.853871964321762 0
277 0 1 0 0 0 0 0 0 0 1 0.4313637641589874 0
278 0 1 0 0 0 0 0 1 0 0 -4.026872146400302 0
279 0 0 0 0 1 0 0 1 0 0 3.0 0
280 0 0 0 0 1 0 0 1 0 0 0.4913616938342727 0
281 0 1 0 0 0 0 0 1 0 0 -0.45593195564972444 0
282 0 1 0 0 0 0 0 1 0 0 -2.886056647693163 0
283 0 1 0 0 0 0 1 0 0 0 0.36172783601759284 0
284 0 1 0 0 0 0 1 0 0 0 -0.1611509092627445 0
285 0 1 0 0 0 0 1 0 0 0 -0.1611509092627445 0
286 0 1 0 0 0 0 1 0 0 0 -0.6989700043360187 0
287 0 1 0 0 0 0 0 0 0 1 -0.7212463990471708 0
288 1 0 0 0 0 0 1 0 0 0 -12.218963061378869 0
289 1 0 0 0 0 0 1 0 0 0 -11.396855627379818 0
290 1 0 0 0 0 0 1 0 0 0 -11.396855627379818 0
291 1 0 0 0 0 0 1 0 0 0 -12.218963061378869 0
292 1 0 0 0 0 0 1 0 0 0 -11.777283528852417 0
293 1 0 0 0 0 0 1 0 0 0 -13.040481623027002 0
294 1 0 0 0 0 0 1 0 0 0 -12.218963061378869 0
295 1 0 0 0 0 0 0 1 0 0 -12.767003889607846 0
296 0 1 0 0 0 0 0 0 0 1 0.36172783601759284 0
297 0 1 0 0 0 0 1 0 0 0 -0.1611509092627445 0
298 0 1 0 0 0 0 1 0 0 0 -0.744727494896694 0
299 0 1 0 0 0 0 1 0 0 0 -0.744727494896694 0
300 0 1 0 0 0 0 1 0 0 0 0.36172783601759284 0
301 0 1 0 0 0 0 0 0 0 1 -0.45593195564972444 0
302 0 1 0 0 0 0 0 1 0 0 -0.3767507096020995 0
303 0 1 0 0 0 0 0 1 0 0 0.5185139398778874 0
304 0 1 0 0 0 0 0 1 0 0 -1.0 0
305 0 1 0 0 0 0 0 1 0 0 -1.8538719643217618 0
306 0 1 0 0 0 0 1 0 0 0 1.1760912590556813 0
307 0 1 0 0 0 0 0 0 0 1 -2.0 0
308 0 1 0 0 0 0 0 0 0 1 -2.0 0
309 0 1 0 0 0 0 1 0 0 0 -2.657577319177794 0
310 0 1 0 0 0 0 1 0 0 0 0.7481880270062005 0
311 1 0 0 0 0 0 1 0 0 0 -11.396855627379818 0
312 1 0 0 0 0 0 1 0 0 0 -8.79860287567955 0
313 0 1 0 0 0 0 1 0 0 0 -3.853871964321762 0
314 0 0 0 0 1 0 0 1 0 0 3.113943352306837 0
315 0 1 0 0 0 0 0 0 0 1 1.2304489213782739 0
316 0 1 0 0 0 0 0 0 0 1 -0.24412514432750865 0
317 0 1 0 0 0 0 0 0 0 1 -4.522878745280337 0
318 0 1 0 0 0 0 0 0 0 1 -0.8239087409443187 0
319 0 1 0 0 0 0 0 0 0 1 -3.5850266520291822 0
320 1 0 0 0 0 0 0 1 0 0 -10.31069114087638 0
321 0 0 0 0 0 1 0 1 0 0 2.7781512503836434 0
322 0 0 0 0 0 1 0 1 0 0 2.9444826721501687 0
323 0 0 0 0 0 1 0 1 0 0 2.57978359661681 0
324 0 1 0 0 0 0 0 0 0 1 -1.275724130399211 0
325 1 0 0 0 0 0 1 0 0 0 -11.156144577376839 0
326 0 1 0 0 0 0 0 0 0 1 -2.0915149811213505 0
327 0 1 0 0 0 0 0 0 0 1 -3.0555173278498313 0
328 0 1 0 0 0 0 0 0 0 1 -1.275724130399211 0
329 0 1 0 0 0 0 0 0 0 1 0.36172783601759284 0
330 0 1 0 0 0 0 0 0 0 1 0.36172783601759284 0
331 0 1 0 0 0 0 0 0 0 1 1.2787536009528289 0
332 0 0 0 0 0 1 0 1 0 0 2.7781512503836434 0
333 0 0 0 0 0 1 0 1 0 0 2.6232492903979003 0
334 0 1 0 0 0 0 0 0 0 1 -2.0 0
335 1 0 0 0 0 0 1 0 0 0 -11.137272471682026 0
336 0 1 0 0 0 0 0 0 0 1 0.6720978579357174 0
