id met_invertebrate met_heterotrophic_fungi met_detritus met_primary_producer met_heterotrophic_bacteria mov_walking mov_sessile mov_other_nonliving mov_other log_mass mass_missing
72 1 0 0 0 0 1 0 0 0 -2.207608310501746 0
73 1 0 0 0 0 1 0 0 0 -4.0835460514500745 0
74 1 0 0 0 0 1 0 0 0 -4.0 0
75 1 0 0 0 0 1 0 0 0 -3.3979400086720375 0
76 1 0 0 0 0 1 0 0 0 -1.97737065430666 0
77 1 0 0 0 0 1 0 0 0 -2.5228787452803374 0
78 1 0 0 0 0 1 0 0 0 -2.218244625347531 0
79 1 0 0 0 0 1 0 0 0 -2.057991946977687 0
80 1 0 0 0 0 1 0 0 0 -2.8096683018297086 0
81 1 0 0 0 0 1 0 0 0 -2.585026652029182 0
82 1 0 0 0 0 1 0 0 0 -3.2596373105057563 0
83 1 0 0 0 0 1 0 0 0 -2.8312079796858183 0
84 1 0 0 0 0 1 0 0 0 -2.712198270069774 0
85 1 0 0 0 0 1 0 0 0 -3.0457574905606752 0
86 1 0 0 0 0 1 0 0 0 -2.2365720064370627 0
87 1 0 0 0 0 1 0 0 0 -2.8239087409443187 0
88 1 0 0 0 0 1 0 0 0 -3.7333661907365103 0
89 1 0 0 0 0 1 0 0 0 -2.2254830342714502 0
90 1 0 0 0 0 1 0 0 0 -2.3933116198360618 0
91 1 0 0 0 0 1 0 0 0 -2.729487461781421 0
92 1 0 0 0 0 1 0 0 0 -3.2365720064370627 0
93 1 0 0 0 0 1 0 0 0 -4.0 0
94 1 0 0 0 0 1 0 0 0 -2.9208187539523753 0
95 1 0 0 0 0 1 0 0 0 -2.8167301563171954 0
96 1 0 0 0 0 1 0 0 0 -3.01173230534359 0
97 1 0 0 0 0 1 0 0 0 -1.6562632587196229 0
98 1 0 0 0 0 1 0 0 0 -3.9330519695297825 0
99 1 0 0 0 0 1 0 0 0 -4.367542707815276 0
100 1 0 0 0 0 1 0 0 0 -2.0019968225986915 0
101 1 0 0 0 0 1 0 0 0 -2.070581074285707 0
102 1 0 0 0 0 1 0 0 0 -3.632023835126537 0
103 0 0 0 1 0 0 1 0 0 -0.7528574516599705 1
104 0 0 0 1 0 0 1 0 0 -0.7528574516599705 1
105 1 0 0 0 0 1 0 0 0 -3.8239087409443187 0
106 1 0 0 0 0 1 0 0 0 -2.211124884224583 0
107 0 0 1 0 0 0 1 0 0 0.9145507590248836 1
108 0 0 0 1 0 0 1 0 0 -0.7528574516599705 1
109 0 0 0 1 0 0 1 0 0 -0.7528574516599705 1
110 0 0 0 1 0 0 1 0 0 -0.7528574516599705 1
111 0 0 0 1 0 0 1 0 0 -4.8326826652518236 1
112 1 0 0 0 0 1 0 0 0 -3.853871964321762 0
113 1 0 0 0 0 1 0 0 0 -4.139063379299906 0
114 1 0 0 0 0 1 0 0 0 -4.0 0
115 0 0 0 1 0 0 1 0 0 -0.7528574516599705 1
