id met_ectotherm_vertebrate met_endotherm_vertebrate met_invertebrate met_primary_producer met_detritus mov_swimming mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
77 1 0 0 0 0 1 0 0 0 0 0.5185139398778874 0
78 1 0 0 0 0 1 0 0 0 0 1.568201724066995 0
79 0 0 1 0 0 0 1 0 0 0 0.7781512503836436 0
80 1 0 0 0 0 1 0 0 0 0 2.5943925503754266 0
81 1 0 0 0 0 1 0 0 0 0 3.9322707758994904 0
82 0 0 1 0 0 1 0 0 0 0 1.0791812460476249 0
83 1 0 0 0 0 1 0 0 0 0 1.9637878273455553 0
84 1 0 0 0 0 1 0 0 0 0 2.225309281725863 0
85 1 0 0 0 0 1 0 0 0 0 1.6989700043360187 0
86 1 0 0 0 0 1 0 0 0 0 1.8325089127062364 0
87 1 0 0 0 0 1 0 0 0 0 1.7323937598229686 0
88 0 0 1 0 0 1 0 0 0 0 0.6020599913279624 0
89 1 0 0 0 0 1 0 0 0 0 2.361727836017593 0
90 1 0 0 0 0 1 0 0 0 0 1.6989700043360187 0
91 1 0 0 0 0 1 0 0 0 0 1.6989700043360187 0
92 1 0 0 0 0 1 0 0 0 0 3.4771212547196626 0
93 1 0 0 0 0 1 0 0 0 0 5.064457989226918 0
94 1 0 0 0 0 1 0 0 0 0 4.086359830674748 0
95 1 0 0 0 0 1 0 0 0 0 3.681241237375587 0
96 1 0 0 0 0 1 0 0 0 0 2.041392685158225 0
97 1 0 0 0 0 1 0 0 0 0 3.041392685158225 0
98 1 0 0 0 0 1 0 0 0 0 3.591064607026499 0
99 1 0 0 0 0 1 0 0 0 0 3.678518379040114 0
100 1 0 0 0 0 1 0 0 0 0 0.9030899869919435 0
101 1 0 0 0 0 1 0 0 0 0 1.845098040014257 0
102 1 0 0 0 0 1 0 0 0 0 1.845098040014257 0
103 0 0 1 0 0 0 1 0 0 0 2.380211241711606 0
104 1 0 0 0 0 1 0 0 0 0 3.4126285205443754 0
105 0 0 1 0 0 0 1 0 0 0 1.7558748556724915 0
106 1 0 0 0 0 1 0 0 0 0 3.746011107751926 0
107 1 0 0 0 0 1 0 0 0 0 5.031408464251625 0
108 1 0 0 0 0 1 0 0 0 0 1.2041199826559248 0
109 1 0 0 0 0 1 0 0 0 0 3.7958800173440754 0
110 1 0 0 0 0 1 0 0 0 0 4.1264561134318045 0
111 1 0 0 0 0 1 0 0 0 0 2.991226075692495 0
112 1 0 0 0 0 1 0 0 0 0 5.204119982655925 0
