,0
Harpovoluta charcoti,species
Puncturella conica,species
Neobuccinum eatoni,species
Marseniopsis mollis,species
Marseniopsis conica,species
Parmaphorella mawsoni,species
Amauropsis rossiana,species
Newnesia antarctica,species
Falsimargarita gemma,species
Marginella ealesa,species
Pontiothauma ergata,species
Probuccinum tenuistriatum,species
Nacella concinna,species
Yolida eightsi,species
Chorismus antarcticus,species
Nematocarcinus lanceopes,species
Acodontaster conspicuus,species
Acodontaster capitatus,species
Acodontaster hodgsoni,species
Bathybiaster loripes,species
Cuenotaster involutus,species
Diplasterias brucei,species
Luidiaster gerlachei,species
Labidiaster annulatus,species
Lophaster gaini,species
Notasterias armata,species
Solaster dawsoni,species
Odontaster meridionalis,species
Odontaster validus,species
Kampylaster incurvatus,species
Cycethra verrucosa mawsoni,species
Notasterias stylophora,species
Notioceramus anomalus,species
Perknaster sladeni,species
Pteraster affinis aculeatus,species
Perknaster densus,species
Perknaster fuscus antarcticus,species
Macroptychaster accrescens,species
Lysasterias perrieri,species
Psilaster charcoti,species
Porania antarctica,species
Porania antarctica glabra,species
Sterechinus neumayeri,species
Sterechinus antarcticus,species
Eudorella splendida,species
Vaunthompsonia indermis,species
Camylaspis maculata,species
Diastylis mawsoni,species
Ekleptostylis debroyeri,species
Lyrocteis flavopallidus,species
Callianira antarctica,species
Pachycara brachycephalum,species
Cyclocardia astartoides,species
Laternula elliptica,species
Limopsis lillei,species
Limopsis marionensis,species
Lissarca notorcadensis,species
Propeleda longicaudata,species
Promachocrinus kerguelensis,species
Anthometra adriani,species
Molgula pedunculata,species
Ascidia challengeri,species
Corella eumyota,species
Aplidium vastum,species
Synoicum adareanum,species
Cnemidocarpa verrucosa,species
Sycozoa sigillinoides,species
Pyura bouvetensis,species
Pyura discoveryi,species
Pyura setosa,species
Pyura tunicata,species
Ctenocidaris gigantea,species
Ctenocidaris spinosa,species
Notocidaris mortenseni,species
Abatus curvidens,species
Abatus cavernosus,species
Abatus nimrodi,species
Abatus shackeltoni,species
Austrocidaris canaliculata,species
Aporocidaris milleri,species
Ctenocidaris perrieri,species
Ctenocidaris gilberti,species
Urticinopsis antarctica,species
Isotealia antarctica,species
Edwardsia meridionalis,species
Isosicyonis alba,species
Nuttallochiton mirandus,species
Callochiton gaussi,species
Cephalodiscus,genus
Cadulus dalli antarcticum,species
Fissidentalium majorinum,species
Champsocephalus gunnari,species
Psychroteuthis glacialis,species
Moroteuthis ingens,species
Alluroteuthis antarcticus,species
Galiteuthis glacialis,species
Kondakovia longimana,species
Gonatus antarcticus,species
Mesonychoteuthis hamiltoni,species
Martialia hyadesi,species
Baseodiscus antarcticus,species
Lineus longifissus,species
Parborlasia corrugatus,species
Phascolion strombi,species
Golfingia nordenskojoeldi,species
Golfingia mawsoni,species
Golfingia ohlini,species
Golfingia anderssoni,species
Golfingia margaritacea margaritacea,species
Alomasoma belyaevi,species
Echiurus antarcticus,species
Hamingia,genus
Maxmuelleria faex,species
Pseudosagitta gazellae,species
Sagitta marri,species
Pseudosagitta maxima,species
Salpa gerlachei,species
Ihlea racovitzai,species
Fulmarus glacialoides,species
Thalassoica antarctica,species
Halobaena caerulea,species
Daption capense,species
Pagodroma nivea,species
Aphrodroma brevirostris,species
Macronectes halli,species
Macronectes giganteus,species
Procellaria aequinoctialis,species
Oceanites oceanicus,species
Sterna vittata,species
Pachyptila desolata,species
Aptenodytes forsteri,species
Pygoscelis adeliae,species
Lobodon carcinophaga,species
Hydrurga leptonyx,species
Arctocephalus gazella,species
Mirounga leonina,species
Ommatophoca rossii,species
Leptonychotes weddelli,species
Balaenoptera musculus,species
Balaenoptera physalus,species
Physeter macrocephalus,species
Megaptera novaeangliae,species
Orcinus orca,species
Lagenorhynchus cruciger,species
Tursiops truncatus,species
Ascomorpha eucadis,species
Cryptomonas sp. 1,genus
Chroococcus dispersus,species
Unclassified flagellates,species
Chromulina sp.,genus
Selenastrum minutum,species
Trachelomonas sp.,genus
Cryptomonas sp. 2,genus
Dinobryon sociale,species
Glenodinium quadridens,species
Peridinium pulsillum,species
Conochilus (solitary),genus
Closteriopsis longissimus,species
Cyclops varians rubellus,species
Filinia longispina,species
Kellicottia sp.,genus
Leptodiaptomus siciloides,species
Ploesoma sp.,genus
Diaphanosoma leuchtenbergianum,species
Nostoc sp.,genus
Dinobryon cylindricum,species
Dactylococcopsis fascicularis,species
Arthrodesmus sp.,genus
Microcystis aeruginosa,species
Mallomonas sp. 1,genus
Mallomonas sp. 2,genus
Synedra sp.,genus
Orthocyclops modestus,species
Chaoborys punctipennis,species
Phoxinus eos,species
Phoxinys neogaeus,species
Unclassified microflagellates,species
Conochiluides dossuarius,species
Diaptomus oregonensis,species
Daphnia rosea,species
Conochilus (colonial),genus
Cryptomonas sp. 3,genus
Cryptomonas sp. 4,genus
Gloeocystis sp. ,genus
Glenodinium pulvisculus,species
Oocystis sp. 1,genus
Oocystis sp. 2,genus
Oscillatoria sp.,genus
Quadrigula lacustris,species
Quadrigula sp. 2,genus
Ankyra judayi,species
acanthina monodon,species
austromegabalanus psittacus,species
balanus laevis,species
brachidontes granulata,species
jhelius cirratus,species
nothobalanus flosculus,species
nothochthamalus scabrosus,species
perumytilus purpuratus,species
semimytilus algosus,species
acanthocyclus gayi,species
acanthocyclus hassleri,species
chiton  cummingii,species
chiton  granosus,species
chiton  latus,species
lottia  orbigny,species
concholepas concholepas,species
fissurella  costata,species
fissurella  crassa,species
fissurella  cummingii,species
fissurella  limbata,species
fissurella  maxima,species
fissurella  picta,species
fissurella  puhlcra,species
scurria  araucana,species
scurria  ceciliana,species
scurria  plana,species
scurria variabilis,species
scurria viridula,species
scurria zebrina,species
siphonaria lesoni,species
phragmatopoma spp.,species
Nodilittorina peruviana,species
onchidella,genus
acanthopleura echinata,species
tegula atra,species
adenocystis utricularis,species
ahnfeltiopsis spp.,genus
benthic_diatoms,unclassified
bryopsis_spp,genus
centroceras spp.,genus
ceramium spp.,genus
chaetomorpha_spp,genus
chondrus  canaliculatus,species
cladophora spp.,genus
codium dimorpha,species
colpomenia phaeodactyla,species
colpomenia sinuosa,species
corallina offcinalis var. chilensis,species
durvillaea antarctica,species
ectocarpus silicosus,species
enteromorpha compressa,species
gelidium rex,species
Gelidium chilensis,genus
glossophora kunthii,species
grateloupia ,genus
gymnogongrus furcellatus,species
halopteris funicularis,species
hildenbrandia lecanelieri,species
laurencia chilensis,species
lessonia nigrescens,species
mazzaella laminarioides,species
montemaria horridula,species
lithothamnion spp.,genus
Nothogenia fastigiata,genus
petalonia fascia,species
petroglossum spp.,genus
peysonella spp.,genus
plocamium cartilageneum,species
polysiphonia_spp,genus
porphyra_spp,genus
Prionitis decipiens,genus
ralfsia spp.,species
rama novazelandensis,species
rhizoclonium cilindricum,species
Rhodymenia skottsbergii,genus
Sarcothalia crispata,genus
schottera nicaensis,species
schyzimenia doryophora,species
scythosiphon lomentaria,species
Trematocarpus dichotomus,genus
ulva rigida,species
ulvella spp.,genus
chaetopleura peruviana,species
pyura chilensis,species
enoplochiton  niger,species
heliaster helianthus,species
scurria scurra,species
tonicia  benaventii,species
tonicia  chilensis,species
tonicia  elegans,species
stichaster striatus,species
anthotoe spp.,species
plankton,unclassified
bunodactis spp.,genus
isolauctis spp.,genus
parantheopsis ,species
Phymactis clematis,species
Larus dominicanus,species
petrolisthes punctatus,species
petrolisthes spinifrons,species
petrolisthes angulosus,species
petrolisthes tuberculatus,species
Cinclodes nifrofumanus,species
trimusculus peruvianus,species
austrolittorina araucana,species
petrolisthes tuberculosus,species
Limulus polyphemus,species
Loligo pealei,species
Lolliguncula brevis,species
Illex illecebrosus,species
Acteocina canaliculata,species
Acteon punctostriatus,species
Bittiolum varium,species
Chaetopleura apiculata,species
Cratena pilata,species
Crepidula convexa,species
Crepidula fornicata,species
Doridella obscura,species
Doris verrucosa,species
Elysia chlorotica,species
Elysia catula,species
Epitonium rupicola,species
Haminoea solitaria,species
Hermaea cruciata,species
Littorina irrorata,species
Mitrella lunata,species
Nassarius vibex,species
Neverita duplicata,species
Polycerella conyma,species
Japonactaeon punctostriatus,species
Stiliger fuscatus,species
Urosalpinx cinerea,species
Aequipecten irradians,species
Anadara ovalis,species
Anadara transversa,species
Anomia simplex,species
Bankia gouldi,species
Brachidontes recurvus,species
Crassostrea virginica,species
Crassostrea ariakensis,species
Dreissena polymorpha,species
Ensis directus,species
Gemma gemma,species
Geukensia demissa,species
Ischadium recurvum,species
Macoma tenta,species
Macoma phenax,species
Macoma mitchelli,species
Mercenaria mercenaria,species
Mulinia lateralis,species
Mytilopsis leucophaeata,species
Noetia ponderosa,species
Nucula proxima,species
Pandora gouldiana,species
Petricola pholadiformis,species
Solemya velum,species
Spisula solidissima,species
Tagelus plebius,species
Tellina agilis,species
Autolytus sp.,genus
Chaetopterus variopedatus,species
Clymenella torquata,species
Eteone lactea,species
Eteone heteropoda,species
Eumida sanguinea,species
Glycera dibranchiata,species
Glycinde solitaria,species
Haploscoloplos fragilis,species
Laeonereis culveri,species
Loimia medusa,species
Lumbrineris fragilis,species
Marenzelleria viridis,species
Nephtys incisa,species
Nereis succinea,species
Notomastus sp.,genus
Paramphinome sp.,genus
Paranaitis speciosa,species
Paraprionospio pinnata,species
Pectinaria gouldii,species
Pherusa affinis,species
Phyllodoce fragilis,species
Polydora aggregata,species
Polydora ligni,species
Polydora cornuta,species
Praxillella praetermissa,species
Pseudoeurythoe paucibranchiata,species
Sabaco elongatus,species
Sabellaria vulgaris,species
Scolecolepides viridis,species
Scolelepis squamata,species
Scoloplos robustus,species
Sigambra tentaculata,species
Spio setosa,species
Spiochaetopterus oculatus,species
Spiophanes bombyx,species
Streblospio benedicti,species
Cancer irroratus,species
Pagurus annulipes,species
Panopeus herbsti,species
Pagurus pollicaris,species
Upogebia affinis,species
Palaemonetes pugio,species
Palaemonetes intermedius,species
Palaemonetes vulgaris,species
Ovalipes ocellatus,species
Callinectes similis,species
Pagurus longicarpus,species
Squilla empusa,species
Sesarma reticulatum,species
Uca pugnax,species
Uca minax,species
Uca pugilator,species
Crangon septemspinosa,species
Callinectes sapidus,species
Rhithropanopeus harrisii,species
Ampelisca verrilli,species
Ampelisca vadorum,species
Ampithoe longimana,species
Batea catharinensis,species
Caprella penantis,species
Cerapus tubularis,species
Corophium tuberculatum,species
Cymadusa compta,species
Elasmopus levis,species
Gammarus mucronatus,species
Jassa falcata,species
Melita appendiculata,species
Rudilemboides naglei,species
Stenothoe minuta,species
Pleusymtes glaber,species
Mysidopsis bigelowi,species
Apocorophium lacustre,species
Monocorophium insidiosum,species
Gammarus fasciatus,species
Gammarus daiberi,species
Gammarus tigrinus,species
Hyalella azteca,species
Lembos smithi,species
Lepidactylus dytiscus,species
Leptocheirus plumulosus,species
Marinogammarus stoerensis,species
Melita nitida,species
Microprotopus raneyi,species
Monoculodes edwardsi,species
Paracaprella tenuis,species
Photis reinhardi,species
Podoceropsis nitida,species
Siphonoecetes smithianus,species
Unciola irrorata,species
Acetes americanus,species
Alpheus heterochaelis,species
Alpheus normanni,species
Arenaeus cribrarius,species
Carcinus sp.,genus
Emerita talpoida,species
Euceramus praelongus,species
Eurypanopeus depressus,species
Hexapanopeus angustifrons,species
Hippolyte pleuracantha,species
Lepidopa websteri,species
Libinia emarginata,species
Lucifer faxoni,species
Lysmata wurdemanni,species
Macrobrachium ohione,species
Munida sp.,genus
Naushonia crangonoides,species
Dyspanopeus sayi,species
Dyspanopeus texanus,species
Ogyrides limicola,species
Penaeus aztecus,species
Pinnixa chaetopterana,species
Pinnotheres maculatus,species
Polyonyx gibbesi,species
Portunus gibbesii,species
Portunus spinimanus,species
Processa sp.,genus
Rhithropanopeus hermandii,species
Trachypenaeus spp.,genus
Bowmaniella dissimilis,species
Heteromysis formosa,species
Metamysidopsis sp.,genus
Neomysis americana,species
Arctica islandica,species
Yoldia limatula,species
Pitar morrhuanus,species
Cerastoderma pinnulatum,species
Macroalgae,unclassified
Other algae,unclassified
Balanus improvisus,species
Cyanobacteria,unclassified
Rotifers,unclassified
Dinoflagellata,unclassified
Ciliates,unclassified
Alonella sp.,genus
Ceriodaphnia lacustris,species
Daphnia lumholtzi,species
Diaphanosoma brachyurum,species
Diaphanosoma leuchtenbergia,species
Eubosmina coregoni,species
Eubosmina longispina,species
Evadne sp.,genus
Lathonura rectirostris,species
Latona setifera,species
Monospilus dispar,species
Pleuroxus striatus,species
Podon polyphemoides,species
Scapholeberis kingi,species
Centropages hamatus,species
Centropages furcatus,species
Diaptomus sp.,genus
Eucalanus pileatus,species
Eurytemora affinis,species
Eurytemora americana,species
Labidocera aestiva,species
Labidocera wollastoni,species
Nannocalanus sp.,genus
Paracalanus crassirostris,species
Paracalanus indicus,species
Pontella meadi,species
Pontella pennata,species
Pseudodiaptomus coronatus,species
Rhincalanus nasutus,species
Temora longicornis,species
Temora turbinata,species
Temora stylifera,species
Acanthocyclops vernalis,species
Halicyclops magniceps,species
Macrocyclops sp.,genus
Paracyclops fibriatus,species
Alteutha depressa,species
Ectinosoma compressum,species
Euterpina acutifrons,species
Harpacticus gracilis,species
Harpacticus chelifer,species
Metis sp.,genus
Scottolana canadensis,species
Tisbe furcata,species
Corycaeus venustus,species
Corycaeus amazonicus,species
Corycaeus speciosus,species
Farranula gracilis,species
Acartia tonsa,species
Acartia hudsonica,species
Oithona colcarva,species
Metridia princeps,species
Tortanus discaudatus,species
Diacyclops thomasi,species
Ectocyclops phaleratus,species
Canuella elongata,species
Clytemnestra rostrata,species
Diosaccus tenuicornis,species
Paralaophonte brevirostris,species
Robertsonia chesapeakensis,species
Zausodes arenicolus,species
Ergasilus versicolor,species
Myicola major,species
Oncaea sp.,genus
Saphirella sp.,genus
Sapphirina sp.,genus
Caligus sp.,genus
Edwardsia elegans,species
Micrura leidyi,species
Carinoma tremaphorus,species
Detritus,unclassified
Camptocercus rectirostris,species
Chydorus sp.,genus
Leydigia quadrangularis,species
Penilia avirostris,species
Podon intermedius,species
Simocephalus sp.,species
Limnoria lignorum,species
Aegathoa medialis,species
Anchoa mitchilli,species
Pomatomus saltatrix,species
Morone saxatilis,species
Balanus eburneus,species
Ilyanassa trivittata,species
Chiridotea almyra,species
Cyathura polita,species
Balanus subalbius,species
Bacteria,unclassified
Erichsonella attenuata,species
Balanion sp.,genus
Chiridotea coeca,species
Edotea triloba,species
Idotea balthica,species
Sphaeroma quadridentatum,species
Chthamalus fragilis,species
Bryozoan,unclassified
Malaclemys terrapin,species
Aurelia aurita,species
Odostomia sp,genus
Siliqua costata,species
Mnemiopsis leidyi,species
Beroe ovata,species
Ceriantheopsis americanus,species
Chrysaora quinquecirrha,species
Clytia sp.,genus
Cunina sp.,genus
Cyanea capillata,species
Diadumene leucolena,species
Liriope tetraphylla,species
Nemopsis bachei,species
Rhopilema verrilli,species
Sertularia sp.,genus
Conopeum tenuissimum,species
Cliona spp.,genus
Microciona prolifera,species
Bowerbankia gracilis,species
Retusa sp.,genus
Gobiosoma bosc,species
Calanus finmarchicus,species
Syncleithrium fusiformis,species
Micropterus dolomieu,species
Phoronis psammophila,species
Peloscolex gabriellae,species
Asterias forbesi,species
Cucumaria pulcherrima,species
Acipenser oxyrhynchus,species
Acipenser brevirostrum,species
Alosa sapidissima,species
Alosa mediocris,species
Ameiurus natalis,species
Ameiurus catus,species
Ameiurus nebulosus,species
Anguilla rostrata,species
Apeltes quadracus,species
Astroscopus guttatus,species
Brevoortia tyrannus,species
Carcharhinus plumbeus,species
Centropristis striata,species
Chasmodes bosquianus,species
Cynoscion regalis,species
Cynoscion nebulosus,species
Gobiesox strumosus,species
Gobiosoma ginsburgi,species
Hippocampus erectus,species
Hyporhamphus meeki,species
Hypsoblennius hentz,species
Ictalurus furcatus,species
Ictalurus punctatus,species
Leiostomus xanthurus,species
Lepisosteus osseus,species
Lepomis macrochirus,species
Micropogonias undulatus,species
Morone americana,species
Opsanus tau,species
Paralichthys dentatus,species
Pogonias cromis,species
Prionotus evolans,species
Rachycentron canadum,species
Rhinoptera bonasus,species
Sciaenops ocellatus,species
Scomber japonicus,species
Scomberomorus cavalla,species
Scomberomorus maculatus,species
Selene vomer,species
Sphoeroides maculatus,species
Strongylura marina,species
Syngnathus floridae,species
Syngnathus fuscus,species
Tautoga onitis,species
Trinectes maculatus,species
Plecoptera,family+
Chaoboridae,family+
Sciomyzidae,family+
Alosa aestivalis,species
Alosa pseudoharengus,species
Anchoa hepsetus,species
Aluterus schoepfi,species
Ammodytes americanus,species
Heterosigma akashiwo,species
Thalassionema proschkinae,species
Corynoneura sp,genus
Eukiefferiella sp.,genus
Stenotomus chrysops,species
Bairdiella chrysoura,species
Caranx crysos,species
Caranx hippos,species
Etrumeus teres,species
Raja eglanteria,species
Carcharhinus obscurus,species
Carpiodes cyprinus,species
Centrarchus macropterus,species
Chaetodipterus faber,species
Chilomycterus schoepfi,species
Leptogorgia virgulata,species
Eucinostomus gula,species
Lagodon rhomboides,species
Menidia menidia,species
Menticirrhus americanus,species
Menticirrhus saxatilis,species
Opisthonema oglinum,species
Orthopristis chrysoptera,species
Peprilus triacanthus,species
Synodus foetens,species
Urophycis regius,species
Cyprinella analostana,species
Cyprinella spiloptera,species
Cyprinodon variegatus,species
Dasyatis centroura,species
Diplectrum bivittatum,species
Diplectrum formosum,species
Microgobius thalassinus,species
Monacanthus hispidus,species
Prionotus carolinus,species
Symphurus plagiusa,species
Dorosoma cepedianum,species
Dorosoma petenense,species
Actinophrys sol,species
Elops saurus,species
Mugil cephalus,species
Oligoplites sp,genus
Engyophrys senta,species
Enneacanthus gloriosus,species
Erimyzon oblongus,species
Etheostoma olmstedi,species
Fistularia tabacaria,species
Fundulus heteroclitus,species
Gambusia affinis,species
Enchelyopus cimbrius,species
Glyptocephalus cynoglossus,species
Goniada,genus
Melanogrammus aeglefinus,species
Cottus sp.,genus
Lepomis auritus,species
Lophius americanus,species
Myrophis punctatus,species
Peprilus alepidotus,species
Prionotus tribulus,species
Squalus acanthias,species
Lucania parva,species
Membras martinica,species
Menidia beryllina,species
Leucon americanus,species
Fundulus majalis,species
Notropis hudsonius,species
Molgula manhattensis,species
Diastylis quadrispinosa,species
Homarus americanus,species
Pseudopleuronectes americanus,species
Mustelus canis,species
Ophidion marginatum,species
Scophthalmus aquosus,species
Bugula neritina,species
Mellita quinquiesperforata,species
Selar crumenophthalmus,species
Euphausiacea,family+
Mullus auratus,species
Squatina dumeril,species
Portunus spinicarpus,species
Lepophidium sp.,genus
Polymixia sp.,genus
Rhomboplites aurorubens,species
Syacium papillosum,species
Synagrops bellus,species
Trachurus lathami,species
Upeneus parvus,species
Haemulon aurolineatum,species
Pristipomoides aquilonaris,species
Trichiurus lepturus,species
Trachinotus falcatus,species
Esox lucius,species
Lota lota,species
Esox masquinongy,species
Pomoxis nigromaculatus,species
Eubosmina leuchtenbergia,species
Melanitta perspicillata,species
Sclerodactyla briareus,species
Cancer borealis,species
Echinarachnius parma,species
fish larvae,unclassified
Sagitta enflata,species
Membranipora sp.,genus
Cura foremanii,species
Dugesia tigrina,species
Euplana gracilis,species
Paravortex genellipara,species
Stylochus ellipticus,species
Calidris minutilla,species
Harpacticoida,family+
Limosa fedoa,species
Recurvirostra americana,species
Catoptrophorus semipalmatus,species
Nemertean,unclassified
green gammaridean,unclassified
Carinoma mutabilis,species
Oniscidea,unclassified
Tringa melanoleuca,species
Fulica americana,species
Culex tarsalis,species
Aedes taeniorhynchus,species
Polydora nuchalis,species
Traskorchestia traskiana,species
Limnodromus scilopaceus,species
Podilymbus podiceps,species
Bucephala albeola,species
Trichocorixia sp.,genus
Corophiidae,family+
Pygidiopsoides spindalis,species
Acteocina inculta,species
Assiminea californica,species
Egretta thula,species
Charadrius vociferus,species
Actitis macularia,species
Egretta caerulea,species
Renicola cerithidicola,species
Maritrema sp.,genus
Microphallidae,family+
Probolocoryphe species A,genus
Calidris mauri,species
Cyathocotylidae,family+
Ephydra,genus
Phocitremoides ovale,species
Austrobilharzia sp.,genus
Euhaplorchis californiensis,species
Pachygrapsus crassipes,species
Ardea herodius,species
Clevelandia ios,species
Phalacrocorax penicillatus,species
Leptocottus armatus,species
Paralichthys californicus,species
Acanthogobius flavimanus,species
Gillichthys mirabilis,species
Hypsopsetta guttulata,species
Mesostephanus appendiculatus,species
Stictodora hancocki,species
Procyon locator,species
Hemigrapsus oregonensis,species
Charadrius semipalmatus,species
Fundulus parvipinnis,species
Triakis semifasciata,species
Aechmophorus occidentalis,species
Uca crenulata,species
Mergus serrator,species
Egretta alba,species
Nycticorax nycticorax,species
Renicola buchanani,species
Atherinops affinis,species
Numenius americanus,species
Cryptomya californica,species
Sterna caspia,species
Numenius phaeopus,species
Melampus olivaceus,species
Larus californicus,species
Urolophus halleri,species
Catatropis johnstoni,species
Cymatogaster aggregata,species
Cerithidea californica,species
Butorides virescens,species
Larus delawarensis,species
Corvus brachyrhynchos,species
Ceryle alcyon,species
Neotrypaea californiensis,species
Tagelus affinis,species
Macoma nasuta,species
Larus philadelphia,species
Upogebia macginitieorum,species
Tagelus subteres,species
Protothaca staminea,species
Tagelus californianus,species
Macoma secta,species
Nuttallia nuttallii,species
Accipiter cooperi,species
Saxidomus nuttalli,species
Anas platyrhynchos,species
Pardosa sp.,genus
Renicola sp.,genus
Himasthla B,unclassified
Hemiuridae,family+
Acanthoparyphium spinulosum,species
cystacanth-fish b.cav,unclassified
Trematode,unclassified
Spirocamallanus pereirae,species
Glossocercus sp.,genus
cystacanth-fish musc,unclassified
Baylisascaris procyonis,species
trypanorhynch-fish,unclassified
Argulus ,genus
Cyclopoida,family+
Gregarinea,unclassified
Himasthla rhigedana,species
renic,unclassified
Gyrodactylus sp.,genus
Parorchis acanthus,species
Carcinonemertes sp.,species
Copepod,unclassified
tetraphyllidean-fish,unclassified
Hysterolecitha trilocalis,species
trypanorhynch-grapsid,unclassified
Ascarophis,unclassified
Pseudomyicola,unclassified
Pseudophyllidean-fish,unclassified
Nematoda,unclassified
Cloacitrema michiganiensis,species
tetraphyllidean larva,unclassified
unk a/sm meso,unclassified
Anas crecca,species
Anas cyanoptera,species
Anas discors,species
Oxyura jamaicensis,species
Anas americana,species
Catjartes aura,species
Parvatrema sp.,genus
unk c,unclassified
Epipellic flora,unclassified
Phytoplankton,unclassified
Glossiphoniidae,family+
Mytilus galloprovincialis,species
Ostracoda,family+
Salicornia virginica,species
Distichlis spicata,species
Frankenia salina,species
Jaumea carnosa,species
Limonium californicum,species
Monanthocloe littoralis,species
Cordylanthus maritimus,species
Apicomplexa,genus
Polydora cilliata,species
Plasmodium sp.,genus
Trichodina sp.,genus
Henneguya,genus
Orthione griffenis,species
Thalassinidea,family+
Portunion conformis,species
Cuscuta salina,species
Picornavirus,genus
Marine detritus,unclassified
carrion-detritus,unclassified
Tanypodinae,family+
Fragilaria vaucheriae,species
Fragilaria virescens,species
Frustulia rhomboides var saxonica,species
Frustulia rhomboides var viridula,species
Diatoma	sp.	2,genus
Diatoma	sp.	3,genus
Diatoma	sp.	6,genus
Diatoma	sp.	5,genus
Diatoma hyemale var mesodon,species
Diatoma	sp.	1,genus
Diatoma	sp.	4,genus
Brachysira brebissonii,species
Peronia fibula,species
Eunotia incisa,species
Eunotia curvata,species
Aulacoseira distans var nivalis,species
Achnanthes austriaca var helvetica,species
Achnanthes marginulata,species
Eunotia denticulata,species
Eunotia rhomboidea,species
Eunotia sp.,genus
Eunotia vanheurckii var intermedia,species
Dicranota sp.,family+
Sigara	lateralis,species
Sialis lutaria,species
Nemoura cambrica,species
Leuctra nigra,species
Chironomidae indet.,family+
Sigara lateralis,species
Oreodytes davisii,species
Polycentropus,genus
Plectrocnemia conspersa,species
Siphonoperla	torrentium,species
Oligochaetae,family+
Halesus radiatus,species
Capnia vidua,species
Diatoma sp. 2,genus
Diatoma sp. 3,genus
Diatoma sp. 6,genus
Diatoma sp. 5,genus
Diatoma sp. 1,genus
Diatoma sp. 4,genus
Chaetopteryx	villosa,species
Fragilaria	vaucheriae,species
Diura bicaudata,species
Siphonoperla torrentium,species
Hydracarina sp. ,genus
Halesus	radiatus,species
Amphinemura sulcicollis,species
CPOM,unclassified
FPOM,unclassified
Achnanthes austriaca minor,species
Achnanthes helvetica,species
Eunotia exigua,species
Eunotia vanheurckii,species
Pinnularia subcapitata,species
Brachyptera risi,species
Chloroperla tripunctata,species
Leuctra inermis,species
Isoperla grammatica,species
Simuliidae,family+
Limnius volckmari,species
Protonemura meyeri,species
Achnanthes minutissima,species
Achnanthes modestiformis,species
Achnanthes oblongella,species
Diatoma hyemale,species
Eunotia,genus
Gomphonema angustatum,species
Hannaea arcus,species
Synedra minuscula,species
Baetis rhodani,species
Leuctra hippopus,species
Dicranota,genus
Ecdyonurus dispar,species
Elmis aenea,species
Hydracarina,family+
Rhithrogena semicolorata,species
Rhyacophila fasciata,species
Oreodytes sanmarkii,species
Plectrocnemia geniculata,species
Diatom sp. 1,unclassified
Diatom sp. 2,unclassified
Cordulegaster boltonii,species
Nemurella pictetii,species
Sialis fuliginosa,species
Pisidium,genus
Eunotia naegelii,species
Eunotia pectinalis,species
Fragilaria,genus
Frustulia rhomboides saxonica,species
Baetis vernus,species
Calopteryx splendens,species
Electrogena lateralis,species
Oxyethira,genus
Tinodes waeneri,species
Ancylus fluviatilis,species
Diatoma hyemale quadratum,species
Gomphonema,genus
Baetis,genus
Baetis muticus,species
Baetis scambus,species
Diplectrona felix,species
Gammarus pulex,species
Gyrinidae,family+
Hydropsyche siltalai,species
Perla bipunctata,species
Philopotamus montanus,species
Silo pallipes,species
Anabolia nervosa,species
Baetis niger,species
Achnanthes,genus
Achnanthes joursacense,species
Achnanthes lanceolata,species
Amphora ovalis,species
Amphora pediculus,species
Cocconeis placentula,species
Cymatopleura solea,species
Cymbella lanceolata,species
Diatoma vulgaris,species
Encyonema minutum,species
Encyonema silesiacum,species
Fragilaria elliptica,species
Fragilaria leptostauron,species
Fragilaria ulna,species
Gomphonema olivaceum,species
Melosira varians,species
Navicula capitatoradiata,species
Navicula cryptotenella,species
Navicula gregaria,species
Navicula lanceolata,species
Navicula menisculus,species
Navicula pseudofrugalis,species
Navicula tripunctata,species
Nitzschia dissipata,species
Nitzschia perminuta,species
Rhoicosphenia abbreviata,species
Surirella ovalis,species
Bithynia leachii,species
Leuctra geniculata,species
Serratella ignita,species
Ephemera danica,species
Erpobdella octoculata,species
Polycentropus kingi,species
Heptagenia sulphurea,species
Hydropsyche contubernalis,species
Sericostoma personatum,species
Hydropsyche instabilis,species
Hydropsyche pellucidula,species
Hydroptila,genus
Lepidostoma hirtum,species
Leuciscus leuciscus,species
Oulimnius tuberculatus,species
Squalius cephalus,species
Theodoxus fluviatilis,species
Thymallus thymallus,species
Gobio gobio,species
Rutilus rutilus,species
Aphelocheirus aestivalis,species
Piscicola geometra,species
Siphlonurus armatus,species
Centroptilum luteolum,species
Brachysira vitrea,species
Frustulia rhomboides viridula,species
Surirella linearis,species
Nemoura cinerea,species
lemmings,family+
mosses,unclassified
grasses and sedges,unclassified
forbs,unclassified
shrubs,unclassified
Lepus arcticus,species
Rangifer tarandus,species
Ovibos moschatus,species
Lagopus spec. ,genus
arthropods,unclassified
waterfowl,unclassified
passerines,unclassified
shorebirds,unclassified
Canis lupus arctos,species
Stercocarius spec.,genus
Larus spec.,genus
Mustela erminea,species
Vulpes lagopus,species
Bubo scandiacus,species
Buteo lagopus,species
Falco spec.,genus
lichens,unclassified
Microtus oeconomus,species
Gulo gulo,species
Ursus horribilis,species
Deroceras reticulatum,species
Family Curculionidae,family+
Microfungi,unclassified
Order Collembola,family+
Order Diplopoda,family+
Order Diptera,family+
Order Enchytraeidae,family+
Order Nematoda,family+
Order Oligochaeta,family+
Oribatidae,family+
Porcellio scaber,species
