,0
root feeding nematodes,unclassified
roots,unclassified
Lithobius muticus,species
Lithobius mutabilis,species
Lithobius cf. mutabilis (juv),species
Lithobius sp. (juv) {m},genus
Lithobius sp1 {s},genus
Lithobius sp2 {s},genus
Lithobius aeruginosus (juv),species
Strigamia acuminata (juv),species
Lithobius aeruginosus {l},species
Achipteria nitens,species
Lithobius aulacopus,species
Aegopinella nitens,species
Aegopinella nitens (juv),species
Agelenidae sp. (juv),family+
Carabidae sp.,family+
Harpalinae sp.,family+
Aleocharinae sp1 (juv),family+
Geostiba circellaris,species
Oxypoda annularis,species
Coelotes sp. (juv) {l},genus
Diplocephalus picinus,species
Neobisium carcinoides,species
Saloca diceros,species
Tapinocyba pallens,species
Walckenaeria dysderoides,species
Pergamasus septentrionalis,species
Xantholinus sp. (juv) {s},genus
Euophrys frontalis,species
Theridiidae sp. (juv),family+
Ero furcata,species
Eulohmannia ribagai,species
Carabodes femoralis,species
Discus rotundatus (juv),species
Allaiulus nitidus (juv) {s},species
Allaiulus nitidus {xl},species
Isotomidae sp.,family+
Xenyella sp.,genus
Lumbricus terrestris (juv) {xxl},species
Anthicus floralis,species
Atheta sp. (juv),genus
Linyphiidae cf Erigoniinae (juv) {m},family+
Athous haemorrhoidalis (juv),species
Athous sp. (juv),genus
Oribatula tibialis,species
Julidae sp. (juv) {m},family+
Trichoniscus sp.,genus
Micranurida granulata,species
Lysigamasus sp. (juv),genus
Geholaspis aeneus,species
Trachytes pauperior (juv),species
Uropoda cassidea,species
Veigaia cerva,species
Veigaia exigua,species
Hypochthonius rufulus,species
Lysigamasus celticus,species
Lysigamasus minorleitneriae,species
Lysigamasus cf wasmanni,species
Zercon cf romagniolus,species
Zercon cf triangularis,species
Neanura muscorum,species
Trachytes pauperior{s},species
Byrrhidae sp.,family+
Coleoptera sp. (juv),family+
Dalopius marginatus (juv) {l},species
Phthiracarus anonymus,species
Tectocepheus velatus sarekensis,species
Elateridae sp.,family+
Elateridae sp1 (juv) {l},family+
Fuscozetes setosus,species
Lepidocyrtus cyaneus,species
Lepidocyrtus lanuginosus,species
Tomocerus flavescens,species
Tomocerus minor,species
Parachipteria punctata,species
Lepidocyrtus lignorum,species
Nesovitrea hammonis,species
Scheloribates initialis,species
Sphaerozetes piriformes,species
Lithobius aeruginosus {s},species
Lithobius sp3 {m},genus
Acrotona sylvicola,species
Strigamia acuminata,species
Macrargus rufus,species
Troxochrus nasutus,species
Harpactea lepida (juv) large,species
Sminthurinus aureus,species
Carabodes coriaceus,species
Carabodes ornatus,species
Scolopendrella cf. subnuda {m},species
Molops piceus,species
Dendrodrilus rubidus,species
Octolasion tyrtaeum{xxxl},species
Octolasion tyrtaeum (juv) {xxl},species
Athous subfuscus,species
Athous zebei (juv) {m},species
Atropacarus striculus,species
Polydesmidae sp.,family+
Epicrius canestrinii,species
Zerconidae sp. (juv),family+
Lysigamasus parunciger,species
Lysigamasus truncellus,species
Trichouropoda cf. obscura (juv),species
Mesaphorura italica,species
Centromerus brevivulvatus,species
Liacarus xylariae,species
Phthiracarus clavatus,species
Quadroppia monstruosa,species
Eupelops hirtus,species
Glomeris sp.,genus
Nesovitrea hammonis (juv),species
Scarabeidae sp. (juv),family+
Abax sp.,genus
Trogulus tricarinatus,species
Geophilus studeri,species
Lithobius mutabilis (juv),species
Geophilomorpha sp.,family+
Eurocoelotes inermis,species
Lumbricus terrestris,species
Aporectodea longa (juv),species
Lumbricus terrestris (juv) {xxxl},species
Clubiona comta,species
Tapinocyba insecta,species
Carabidae sp1,family+
Lithobius sp2 {l},genus
Robertus lividus (juv) {l},species
Cantharidae sp.,family+
Centromerus prudens,species
Protaphorura fimata,species
Chordeumatidae (juv) {m},family+
Geholaspis mandibularis,species
Holoparasitus stramenti,species
Leitneria granulata (juv),species
Macrocheles montanus,species
Pachyseius humeralis,species
Rhodacarellus kreuzi,species
Uropoda athiasae,species
Berniniella conjuncta,species
Macrochelidae (juv),family+
Ceratozetes gracilis,species
Cochlodina laminata,species
