,food.web,eco.type,node,genus,taxonomy.level,mov.type,met.type,new.mass,species.other,genus.other,met.mov.same,met.same,mov.same,met.other,mov.other
64,Chilean Intertidal Curaumilla,marine,Gelidium chilensis,Gelidium,genus,sessile,primary producer,0.00021171432392857138,0,1,0,0,0,0,0
65,Chilean Intertidal Curaumilla,marine,glossophora kunthii,glossophora,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
66,Chilean Intertidal Curaumilla,marine,grateloupia ,grateloupia,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
67,Chilean Intertidal Curaumilla,marine,gymnogongrus furcellatus,gymnogongrus,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
68,Chilean Intertidal Curaumilla,marine,halopteris funicularis,halopteris,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
69,Chilean Intertidal Curaumilla,marine,hildenbrandia lecanelieri,hildenbrandia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
70,Chilean Intertidal Curaumilla,marine,laurencia chilensis,laurencia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
71,Chilean Intertidal Curaumilla,marine,lessonia nigrescens,lessonia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
72,Chilean Intertidal Curaumilla,marine,mazzaella laminarioides,mazzaella,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
73,Chilean Intertidal Curaumilla,marine,montemaria horridula,montemaria,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
74,Chilean Intertidal Curaumilla,marine,lithothamnion spp.,lithothamnion,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
75,Chilean Intertidal Curaumilla,marine,Nothogenia fastigiata,Nothogenia,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
76,Chilean Intertidal Curaumilla,marine,petalonia fascia,petalonia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
77,Chilean Intertidal Curaumilla,marine,petroglossum spp.,petroglossum,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
78,Chilean Intertidal Curaumilla,marine,peysonella spp.,peysonella,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
79,Chilean Intertidal Curaumilla,marine,plocamium cartilageneum,plocamium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
80,Chilean Intertidal Curaumilla,marine,polysiphonia_spp,polysiphonia_spp,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
81,Chilean Intertidal Curaumilla,marine,porphyra_spp,porphyra_spp,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
82,Chilean Intertidal Curaumilla,marine,Prionitis decipiens,Prionitis,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
83,Chilean Intertidal Curaumilla,marine,ralfsia spp.,ralfsia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
84,Chilean Intertidal Curaumilla,marine,rama novazelandensis,rama,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
85,Chilean Intertidal Curaumilla,marine,rhizoclonium cilindricum,rhizoclonium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
86,Chilean Intertidal Curaumilla,marine,Rhodymenia skottsbergii,Rhodymenia,genus,sessile,primary producer,0.00022799999999999996,0,1,0,0,0,0,0
87,Chilean Intertidal Curaumilla,marine,Sarcothalia crispata,Sarcothalia,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
88,Chilean Intertidal Curaumilla,marine,schottera nicaensis,schottera,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
89,Chilean Intertidal Curaumilla,marine,schyzimenia doryophora,schyzimenia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
90,Chilean Intertidal Curaumilla,marine,scythosiphon lomentaria,scythosiphon,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
91,Chilean Intertidal Curaumilla,marine,Trematocarpus dichotomus,Trematocarpus,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
92,Chilean Intertidal Curaumilla,marine,ulva rigida,ulva,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
93,Chilean Intertidal Curaumilla,marine,ulvella spp.,ulvella,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
94,Chilean Intertidal Curaumilla,marine,petrolisthes punctatus,petrolisthes,species,walking,invertebrate,11.547752941176473,0,0,1,0,0,0,0
95,Chilean Intertidal Curaumilla,marine,petrolisthes spinifrons,petrolisthes,species,walking,invertebrate,11.547752941176473,0,0,1,0,0,0,0
96,Chilean Intertidal Curaumilla,marine,petrolisthes angulosus,petrolisthes,species,walking,invertebrate,11.547752941176473,0,0,1,0,0,0,0
97,Chilean Intertidal Curaumilla,marine,petrolisthes tuberculatus,petrolisthes,species,walking,invertebrate,11.547752941176473,0,0,1,0,0,0,0
98,Chilean Intertidal Curaumilla,marine,trimusculus peruvianus,trimusculus,species,walking,invertebrate,11.547752941176473,0,0,1,0,0,0,0
99,Chilean Intertidal El Quisco,marine,adenocystis utricularis,adenocystis,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
100,Chilean Intertidal El Quisco,marine,ahnfeltiopsis spp.,ahnfeltiopsis,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
101,Chilean Intertidal El Quisco,marine,bryopsis_spp,bryopsis_spp,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
102,Chilean Intertidal El Quisco,marine,centroceras spp.,centroceras,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
