id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_floating mov_swimming log_mass mass_missing
38 1 0 0 0 1 0 0 0 0 -2.8287923774253847 0
39 1 0 0 0 0 0 0 0 1 -3.8199860116700357 0
40 1 0 0 0 1 0 0 0 0 -4.366531544420414 0
41 1 0 0 0 0 0 0 0 1 -3.508048906371251 0
42 1 0 0 0 1 0 0 0 0 -4.404503778174426 0
43 0 0 1 0 0 0 1 0 0 -5.151810883008602 1
44 0 0 1 0 0 0 0 1 0 -7.946487081850424 1
45 1 0 0 0 1 0 0 0 0 -3.650881840236705 0
46 1 0 0 0 1 0 0 0 0 -3.5816572703440843 0
47 1 0 0 0 0 0 0 0 1 -3.5762938540155886 0
48 1 0 0 0 0 0 0 0 1 -3.8733426905944706 0
49 1 0 0 0 0 0 0 0 1 -3.222215159153842 0
50 1 0 0 0 1 0 0 0 0 -4.490797477668897 0
51 0 0 1 0 0 0 0 1 0 -9.978810700930062 1
52 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
53 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
54 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
55 1 0 0 0 1 0 0 0 0 -4.6252516539898965 0
56 0 0 1 0 0 0 0 1 0 -7.929079206781836 1
57 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
58 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
59 1 0 0 0 0 0 0 0 1 -3.8733426905944706 0
60 1 0 0 0 1 0 0 0 0 -4.366531544420414 0
61 1 0 0 0 0 0 0 0 1 -3.0502651345828813 0
62 1 0 0 0 1 0 0 0 0 -4.152427340857888 0
63 0 0 1 0 0 0 0 1 0 -8.795880017344075 1
64 0 0 1 0 0 0 0 1 0 -7.998569458294951 1
65 0 0 1 0 0 0 0 1 0 -9.055681864499613 1
66 0 0 1 0 0 0 0 1 0 -9.109998386815363 1
67 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
68 0 0 1 0 0 0 0 1 0 -9.373146585333274 1
69 0 0 1 0 0 0 0 1 0 -8.850879881927025 1
70 0 0 1 0 0 0 0 1 0 -8.814960988871428 1
71 0 0 1 0 0 0 0 1 0 -10.886056647693163 1
72 0 0 1 0 0 0 0 1 0 -8.850879881927025 1
73 0 0 1 0 0 0 0 1 0 -5.151810883008602 1
74 1 0 0 0 0 0 0 0 1 -3.4265319429602363 0
75 0 0 1 0 0 0 0 1 0 -8.765045099367 1
76 0 0 1 0 0 0 0 1 0 -8.416726717144723 1
77 0 0 1 0 0 0 0 1 0 -8.648010544564368 1
78 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
79 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
80 0 0 1 0 0 0 0 1 0 -7.889410289700751 1
81 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
82 0 0 1 0 0 0 0 1 0 -9.045275209020938 1
83 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
84 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
85 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
86 1 0 0 0 1 0 0 0 0 -4.366531544420414 0
87 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
88 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
89 1 0 0 0 1 0 0 0 0 -3.5680109803948756 0
90 0 0 1 0 0 0 1 0 0 -5.151810883008602 1
91 1 0 0 0 1 0 0 0 0 -4.366531544420414 0
92 0 0 1 0 0 0 0 1 0 -8.363404653772209 1
93 0 0 1 0 0 0 0 1 0 -8.292855811657555 1
94 0 0 1 0 0 0 0 1 0 -7.529272063769566 1
95 0 0 1 0 0 0 0 1 0 -8.537482213248566 1
