id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_floating mov_swimming log_mass mass_missing
75 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
76 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
77 0 0 1 0 0 0 1 0 0 -4.982966660701219 1
78 1 0 0 0 1 0 0 0 0 -3.9148343395434146 0
79 0 0 1 0 0 0 0 1 0 -8.416726717144723 1
80 0 0 1 0 0 0 0 1 0 -8.648010544564368 1
81 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
82 0 0 1 0 0 0 1 0 0 -4.982966660701219 1
83 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
84 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
85 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
86 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
87 0 0 1 0 0 0 0 1 0 -7.889410289700751 1
88 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
89 0 0 1 0 0 0 0 1 0 -9.045275209020938 1
90 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
91 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
92 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
93 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
94 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
95 1 0 0 0 0 0 0 0 1 -3.7051591635611096 0
96 0 0 1 0 0 0 0 1 0 -8.363404653772209 1
97 0 0 1 0 0 0 0 1 0 -8.292855811657555 1
98 0 0 1 0 0 0 0 1 0 -8.292855811657555 1
99 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
100 0 0 1 0 0 0 0 1 0 -7.949523572734937 1
101 0 0 1 0 0 0 0 1 0 -7.949523572734937 1
102 0 0 1 0 0 0 0 1 0 -7.529272063769566 1
103 0 0 1 0 0 0 0 1 0 -8.537482213248566 1
104 0 0 1 0 0 0 0 1 0 -8.528209723454808 1
105 1 0 0 0 0 0 0 1 0 -3.6615303338361187 1
106 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
107 0 1 0 0 0 1 0 0 0 -4.982966660701219 1
108 1 0 0 0 0 0 0 0 1 -3.575106934717154 0
109 1 0 0 0 0 0 0 0 1 -3.6212333778806354 0
110 0 0 1 0 0 0 1 0 0 -4.982966660701219 1
111 0 0 1 0 0 0 1 0 0 -4.982966660701219 1
112 0 0 1 0 0 0 1 0 0 -4.982966660701219 1
