id met_endotherm_vertebrate met_ectotherm_vertebrate met_invertebrate met_primary_producer met_detritus mov_swimming mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
45 1 0 0 0 0 0 1 0 0 0 2.041392685158225 0
46 1 0 0 0 0 0 1 0 0 0 1.6812412373755872 0
47 1 0 0 0 0 0 1 0 0 0 2.7323937598229686 0
48 0 0 1 0 0 1 0 0 0 0 -0.9030899869919435 0
49 0 0 1 0 0 1 0 0 0 0 0.09691001300805642 0
50 1 0 0 0 0 0 1 0 0 0 2.255272505103306 0
51 1 0 0 0 0 0 1 0 0 0 2.3560258571931225 0
52 1 0 0 0 0 1 0 0 0 0 2.845098040014257 0
53 0 1 0 0 0 1 0 0 0 0 1.1760912590556813 0
54 0 0 0 1 0 0 0 0 1 0 -5.175874166083451 0
55 0 0 1 0 0 0 1 0 0 0 -1.045757490560675 0
56 0 0 1 0 0 0 1 0 0 0 -1.7958800173440752 0
57 0 0 1 0 0 0 0 1 0 0 -1.9777235966029583 0
58 0 0 0 1 0 0 0 1 0 0 -2.6020599913279625 0
59 1 0 0 0 0 1 0 0 0 0 2.8512583487190755 0
60 1 0 0 0 0 1 0 0 0 0 4.010723865391773 0
61 0 0 1 0 0 1 0 0 0 0 -1.6434526712746536 0
62 0 0 1 0 0 0 1 0 0 0 -2.8718321581476838 0
63 0 0 1 0 0 0 1 0 0 0 -0.2041199826559248 0
64 0 0 1 0 0 1 0 0 0 0 -1.7403626938371888 0
65 0 0 1 0 0 1 0 0 0 0 -4.903089986991944 0
66 0 0 0 1 0 0 0 1 0 0 -0.6020599913279624 0
67 0 0 1 0 0 1 0 0 0 0 -1.5295093174978969 0
68 1 0 0 0 0 0 1 0 0 0 1.7993405494535817 0
69 0 0 1 0 0 1 0 0 0 0 -5.166215625343521 0
70 0 0 1 0 0 1 0 0 0 0 -0.8061799739838872 0
71 0 0 1 0 0 0 1 0 0 0 -1.7269987279362624 0
72 0 0 1 0 0 0 1 0 0 0 -3.0969100130080562 0
73 1 0 0 0 0 0 1 0 0 0 2.385606273598312 0
74 0 0 1 0 0 1 0 0 0 0 -1.6434526712746536 0
75 0 0 1 0 0 1 0 0 0 0 -1.8653014145213578 0
76 0 0 1 0 0 0 0 1 0 0 -1.154901959985743 0
77 0 0 1 0 0 0 0 1 0 0 -3.681241932247314 0
78 0 0 1 0 0 0 0 1 0 0 -0.176091258838534 0
79 0 0 1 0 0 0 0 1 0 0 -0.39794000867203755 0
80 0 0 1 0 0 1 0 0 0 0 -3.884605857474397 0
81 1 0 0 0 0 0 1 0 0 0 2.478566495593843 0
82 0 0 1 0 0 1 0 0 0 0 -1.6434526712746536 0
83 0 0 1 0 0 1 0 0 0 0 -5.166215625343521 0
84 0 0 0 0 1 0 0 0 0 1 -5.406713932979542 1
85 0 0 1 0 0 1 0 0 0 0 -2.2041199826559246 0
86 0 0 1 0 0 0 0 1 0 0 -3.3802108942761597 0
87 0 0 1 0 0 0 0 1 0 0 -5.406713932979542 0
88 0 0 1 0 0 0 1 0 0 0 -1.4973246383262666 0
89 0 0 1 0 0 0 0 1 0 0 -3.2552721576678594 0
90 0 0 1 0 0 0 0 1 0 0 -1.9542425137822697 0
91 0 0 1 0 0 0 1 0 0 0 0.09691001300805642 0
