net_id,struc_roc_mean,attr_roc_mean,full_roc_mean,struc_pr_mean,attr_pr_mean,full_pr_mean
5,0.9802896952610782,0.8035324737980609,0.9829947211478343,0.5370681289388075,0.08805406540654516,0.5532248963281681
6,0.9739441361840615,0.7960823284177583,0.9768410750157781,0.4704145045112619,0.0743061660887331,0.4798881884806067
7,0.9759430079413672,0.8066612389901779,0.9788753218728624,0.4655974713773853,0.14453615094426958,0.484066976105749
8,0.9260997551278802,0.8613584479699734,0.9501302271098997,0.17608808982512833,0.09735157486844194,0.23161894387139545
9,0.9852748983499126,0.9095086996886848,0.992310222023551,0.8131893619663039,0.34901312506530435,0.8790238330721326
10,0.9906068896002231,0.9053577343600638,0.9940890786792531,0.82063906539176,0.2637863072152461,0.8746756172868796
11,0.9871144009896785,0.892915586851017,0.99038628133393,0.8075713515932469,0.19246510060879274,0.8496164805501785
12,0.9860678596938566,0.9058600420743417,0.9900270154756724,0.7488357644060623,0.20925636771719508,0.7980301878208989
13,0.9863821596527746,0.9046837546200907,0.9896736972207372,0.7582291733060827,0.19088769551697987,0.8353338180787503
14,0.9841900521475739,0.8962173125652143,0.986856539604067,0.7447283024861869,0.2026066512805415,0.7976416152202461
15,0.9876792220623173,0.8936298928065607,0.9898383710537738,0.7404279558854437,0.18550594694599454,0.8125145590102324
16,0.987710024388293,0.9149408851777665,0.9920947586014488,0.7848522055805857,0.23055495522492914,0.835671989250668
17,0.9874377492375144,0.9120888880553061,0.9910709477764555,0.7944423723794682,0.23946093845303706,0.8450661454885726
18,0.9887978283232769,0.909314524066998,0.9915321760679868,0.8157069227232148,0.31238449525078826,0.8684138685485406
19,0.9888256484351651,0.9067325418812914,0.9925497128031958,0.805686372108938,0.23565127819874512,0.8672581322775115
20,0.9859073051693645,0.9115288094864964,0.9900317937925838,0.7705617316757665,0.2995916074745127,0.8266890807351865
21,0.9861780256431152,0.9115395645557444,0.9903871918436981,0.7665413063699397,0.24005153920954042,0.8155158303569259
22,0.9863207442064468,0.8878243150109393,0.9898221448813329,0.7179565209274006,0.16383911390844683,0.8104782930668074
23,0.9810841490442836,0.9098586558656147,0.9882579808934707,0.7231998133342453,0.2158932912058522,0.8092624472259164
24,0.9904389206046048,0.9091109262592116,0.9933004882911043,0.8165042562848557,0.18442249365195318,0.8685740672400406
25,0.9850706841367882,0.8968063881459953,0.9874332915641206,0.6907847667337078,0.1591503230459977,0.7511197458314272
26,0.984719035135399,0.8963621657587233,0.9879825279558606,0.7444441263734598,0.17211064163930595,0.7897483179648219
27,0.986541039532392,0.9024724485939473,0.9888347181656736,0.7787651857488976,0.1947402250691816,0.8278906192866593
28,0.9826731489089747,0.8901616627688937,0.9877119791556932,0.6477175498294783,0.13899194542426183,0.7126671341650115
29,0.9916510660029534,0.9214657729061315,0.9946691154076956,0.8132411488234801,0.25077782206409105,0.8602531465234163
30,0.9873714320561244,0.8990908670139938,0.989948474300328,0.7738931506146008,0.19194483942225166,0.811228277895782
31,0.9773302573488459,0.8841791667054137,0.9854124928872995,0.6734914664452548,0.19184346012865997,0.7573053417508634
