"","feature_name","coef_estimate","coef_std_error","coef_p_adjusted","model","metric","significance"
"93","log_num_nodes",0.018972928009043,0.0122209411400552,0.303780217399922,"Attribute","PR-AUC",""
"94","connectance",0.0192218739564971,0.012213598888061,0.303780217399922,"Attribute","PR-AUC",""
"95","clustering_coefficient",0.0204438081482759,0.0121761032820118,0.303780217399922,"Attribute","PR-AUC",""
"96","assort_mass",-0.0183771884093006,0.0122381057141026,0.303780217399922,"Attribute","PR-AUC",""
"97","deg_assort_ii",0.0203080871065492,0.0121803878240065,0.303780217399922,"Attribute","PR-AUC",""
"98","high_tax_frac",-0.017814902698132,0.0122537830612714,0.303780217399922,"Attribute","PR-AUC",""
"99","num_attr",0.0215516041216033,0.0121400045704996,0.303780217399922,"Attribute","PR-AUC",""
"100","median_log_mass",0.0163722007664185,0.0122916963563467,0.34570976223362,"Attribute","PR-AUC",""
"101","mean_log_mass",0.0149521882633757,0.0123257885720049,0.390039096970874,"Attribute","PR-AUC",""
"102","max_log_mass",0.0142544634908297,0.012341375869221,0.39798882735374,"Attribute","PR-AUC",""
"103","assort_mov",-0.00674710877241695,0.0124613158735573,0.764137969649197,"Attribute","PR-AUC",""
"104","miss_mass_frac",0.00795346532202711,0.0124478828320991,0.764137969649197,"Attribute","PR-AUC",""
"105","mass_skewness",-0.00724922116728038,0.0124559943243108,0.764137969649197,"Attribute","PR-AUC",""
"106","deg_assort_io",0.00497662237128825,0.0124770200478083,0.80079612711925,"Attribute","PR-AUC",""
"107","deg_assort_oo",0.0051917489958641,0.0124753659636124,0.80079612711925,"Attribute","PR-AUC",""
"108","deg_assort_oi",0.00238568209050732,0.0124914346825306,0.869209651808289,"Attribute","PR-AUC",""
"109","unclassified_tax_frac",0.00206703886232659,0.0124925061854522,0.869209651808289,"Attribute","PR-AUC",""
"110","min_log_mass",0.00288508027771122,0.012489446589178,0.869209651808289,"Attribute","PR-AUC",""
"111","log_num_nodes",0.11028798111129,0.016755169906497,0.000000466087148158195,"Structure","PR-AUC","****"
"112","avg_degree",0.100747003589402,0.0178528963513123,0.00000731636618056875,"Structure","PR-AUC","****"
"113","cannibalistic_removal",-0.0840910821433729,0.019411687671289,0.000484988765469049,"Structure","PR-AUC","***"
"114","deg_assort_oi",0.0660001143759122,0.0206892629001071,0.0131457570643412,"Structure","PR-AUC","*"
"115","unclassified_tax_frac",-0.0598356576437071,0.0210400005100416,0.0231670021116117,"Structure","PR-AUC","*"
"116","mass_skewness",-0.0602679947481796,0.0210167052478627,0.0231670021116117,"Structure","PR-AUC","*"
"117","deg_assort_io",0.0583870627286502,0.0211166494130976,0.0245627174235294,"Structure","PR-AUC","*"
"118","deg_assort_oo",-0.0524677207067181,0.0214077970926183,0.0483555594372811,"Structure","PR-AUC","*"
"119","deg_assort_ii",-0.0509343490374398,0.0214775547391165,0.0522641801250634,"Structure","PR-AUC",""
"120","max_log_mass",0.039489625567649,0.0219274108356766,0.170291807543,"Structure","PR-AUC",""
"121","assort_met",-0.0378028406002495,0.0219834316280626,0.182679193233693,"Structure","PR-AUC",""
"122","min_log_mass",-0.0331349671670274,0.022125075765358,0.256967892674118,"Structure","PR-AUC",""
"123","assort_mov",-0.027890758405646,0.0222611165609912,0.365106921516015,"Structure","PR-AUC",""
"124","clustering_coefficient",0.0256911713872253,0.0223110073417206,0.400233340753176,"Structure","PR-AUC",""
"125","median_log_mass",-0.0235115492892789,0.0223563080090609,0.436656905797505,"Structure","PR-AUC",""
"126","mean_log_mass",-0.019985084960895,0.0224209421318703,0.518053290897037,"Structure","PR-AUC",""
"127","modularity",0.0189752625728694,0.0224374902211408,0.519620806014793,"Structure","PR-AUC",""
"128","high_tax_frac",-0.0136232968155545,0.0225107260165751,0.669331117983118,"Structure","PR-AUC",""
"129","connectance",0.00985727978338185,0.0225477547300576,0.768566236136873,"Structure","PR-AUC",""
"130","assort_mass",-0.000425619035388598,0.0225882966489733,0.985037540018158,"Structure","PR-AUC",""
"131","miss_mass_frac",-0.00220348095612415,0.0225863444029277,0.985037540018158,"Structure","PR-AUC",""
"132","num_attr",0.00142723100348767,0.0225875215487186,0.985037540018158,"Structure","PR-AUC",""
