"","feature_name","coef_estimate","coef_std_error","coef_p_adjusted","model","metric","significance"
"20","min_log_mass",-0.00218389373482973,0.00413549407540405,0.692206529577242,"Full","ROC-AUC",""
"21","assort_mov",0.0018697659282034,0.00414141122203072,0.70238113782811,"Full","ROC-AUC",""
"22","deg_assort_ii",-0.00177512798434805,0.00414301267624858,0.70238113782811,"Full","ROC-AUC",""
"23","mass_skewness",-0.00063472887319785,0.00415574950910372,0.879786320447632,"Full","ROC-AUC",""
"24","modularity",-0.032712600916235,0.00512644541370737,0.0000213407765721186,"Attribute","ROC-AUC","****"
"25","cannibalistic_removal",-0.0274251047177284,0.0062056717140893,0.00178940418942937,"Attribute","ROC-AUC","**"
"26","deg_assort_oo",0.0260455523529683,0.00643020207962874,0.00314157510811597,"Attribute","ROC-AUC","**"
"27","median_log_mass",-0.0248744313188616,0.00660614059429341,0.00494221788590675,"Attribute","ROC-AUC","**"
"28","assort_met",0.0207566435804754,0.00713217927923729,0.0280195344780237,"Attribute","ROC-AUC","*"
"29","deg_assort_io",-0.0209423807649611,0.00711126531441759,0.0280195344780237,"Attribute","ROC-AUC","*"
"30","mean_log_mass",-0.0196300702491296,0.00725382155989266,0.0389635885172574,"Attribute","ROC-AUC","*"
"31","deg_assort_oi",0.0185594257999499,0.00736142095332607,0.0522222169421257,"Attribute","ROC-AUC",""
"32","avg_degree",0.0178708057094993,0.00742666730586199,0.0540921555907929,"Attribute","ROC-AUC",""
"33","high_tax_frac",-0.0179302798382962,0.00742115176292635,0.0540921555907929,"Attribute","ROC-AUC",""
"34","min_log_mass",-0.017222873231395,0.00748531486268771,0.0620370063319801,"Attribute","ROC-AUC",""
"35","assort_mov",0.0165381034353101,0.00754447556555483,0.0719192130370835,"Attribute","ROC-AUC",""
"36","log_num_nodes",0.0136846468171436,0.00776118599002968,0.158550141080394,"Attribute","ROC-AUC",""
"37","num_attr",0.00900922822229626,0.008019782206462,0.446108137255968,"Attribute","ROC-AUC",""
"38","connectance",0.00825361381405614,0.00805099999710031,0.482584086172058,"Attribute","ROC-AUC",""
"39","miss_mass_frac",-0.00766174431384007,0.00807346899000518,0.486458593877602,"Attribute","ROC-AUC",""
"40","unclassified_tax_frac",0.00721364731538223,0.00808933071821932,0.486458593877602,"Attribute","ROC-AUC",""
"41","max_log_mass",-0.00748684878443591,0.0080797773699732,0.486458593877602,"Attribute","ROC-AUC",""
"42","deg_assort_ii",-0.00687904718194626,0.00810053292559811,0.488467426617536,"Attribute","ROC-AUC",""
"43","mass_skewness",-0.00466888970328834,0.00816089935352185,0.657989611129692,"Attribute","ROC-AUC",""
"44","parasitic_removal",0.00364201355069253,0.0081809852309491,0.722719062641846,"Attribute","ROC-AUC",""
"45","clustering_coefficient",-0.00104139069801081,0.00820956588187902,0.900034362462462,"Attribute","ROC-AUC",""
"46","assort_mass",-0.00125834341099601,0.00820839705526186,0.900034362462462,"Attribute","ROC-AUC",""
"47","modularity",-0.0205927271251899,0.00304844937188822,0.0000083124403948495,"Structure","ROC-AUC","****"
"48","avg_degree",0.0163808887300558,0.0039092888777056,0.00217905155737958,"Structure","ROC-AUC","**"
"49","cannibalistic_removal",-0.0166370766132843,0.00386745406771664,0.00217905155737958,"Structure","ROC-AUC","**"
"50","deg_assort_oo",0.0137028753075054,0.0042873281605241,0.0188116998891588,"Structure","ROC-AUC","*"
"51","high_tax_frac",-0.0135561069322194,0.00430523611517182,0.0188116998891588,"Structure","ROC-AUC","*"
"52","log_num_nodes",0.0106094794884136,0.00461235167922699,0.102236552972526,"Structure","ROC-AUC",""
"53","deg_assort_io",-0.0105280657885443,0.00461952117940695,0.102236552972526,"Structure","ROC-AUC",""
"54","assort_met",0.0101168753582065,0.00465472620171466,0.112242253223991,"Structure","ROC-AUC",""
"55","median_log_mass",-0.009837970441456,0.00467766329297125,0.11571310697935,"Structure","ROC-AUC",""
"56","connectance",0.0080980419563663,0.00480424996076219,0.220253565514768,"Structure","ROC-AUC",""
"57","miss_mass_frac",-0.00806490028981534,0.00480639368511832,0.220253565514768,"Structure","ROC-AUC",""
"58","deg_assort_oi",0.00779381551725506,0.00482356388764347,0.226575263652409,"Structure","ROC-AUC",""
"59","assort_mov",0.00703234552372886,0.00486836593887411,0.284037845803614,"Structure","ROC-AUC",""
"60","mean_log_mass",-0.00650232544060987,0.00489662091970668,0.321581149379816,"Structure","ROC-AUC",""
"61","parasitic_removal",0.00560297731871669,0.00493919250841823,0.409371367325327,"Structure","ROC-AUC",""
"62","mass_skewness",-0.00535585456420319,0.00494972557606341,0.415673196267054,"Structure","ROC-AUC",""
