id met_invertebrate met_primary_producer met_detritus met_ectotherm_vertebrate mov_walking mov_sessile mov_floating mov_swimming mov_other_nonliving log_mass mass_missing
80 0 1 0 0 0 0 1 0 0 -8.850879881927025 1
81 1 0 0 0 1 0 0 0 0 -3.5070650903833505 0
82 1 0 0 0 1 0 0 0 0 -3.257953935360063 0
83 1 0 0 0 0 0 0 1 0 -3.4265319429602363 0
84 0 1 0 0 0 0 1 0 0 -8.765045099367 1
85 0 1 0 0 0 0 1 0 0 -8.416726717144723 1
86 0 1 0 0 0 0 1 0 0 -8.648010544564368 1
87 1 0 0 0 1 0 0 0 0 -3.131499566733279 0
88 0 1 0 0 0 0 1 0 0 -8.045223166137303 1
89 0 1 0 0 0 0 1 0 0 -7.889410289700751 1
90 0 1 0 0 0 0 1 0 0 -8.045223166137303 1
91 0 1 0 0 0 0 1 0 0 -9.045275209020938 1
92 1 0 0 0 1 0 0 0 0 -2.0244419657151727 0
93 1 0 0 0 0 0 0 1 0 -4.178486471595227 0
94 0 1 0 0 0 0 1 0 0 -8.413978149818515 1
95 0 1 0 0 0 0 1 0 0 -8.413978149818515 1
96 0 1 0 0 0 0 1 0 0 -0.7528574516599705 1
97 0 1 0 0 0 0 1 0 0 -7.824053529904454 1
98 0 1 0 0 0 0 1 0 0 -7.824053529904454 1
99 0 1 0 0 0 1 0 0 0 -4.87942606879415 1
100 1 0 0 0 1 0 0 0 0 -3.566094220389788 0
101 0 1 0 0 0 0 1 0 0 -8.363404653772209 1
102 0 1 0 0 0 0 1 0 0 -8.292855811657555 1
103 0 1 0 0 0 0 1 0 0 -9.79317412396815 1
104 0 1 0 0 0 0 1 0 0 -7.949523572734937 1
105 0 1 0 0 0 0 1 0 0 -7.529272063769566 1
106 0 1 0 0 0 0 1 0 0 -8.537482213248566 1
107 0 1 0 0 0 0 1 0 0 -8.528209723454808 1
108 1 0 0 0 0 0 1 0 0 -1.3575991151622624 1
109 0 0 1 0 0 0 0 0 1 -4.87942606879415 1
110 0 1 0 0 0 1 0 0 0 -4.87942606879415 1
