id met_invertebrate met_other met_detritus met_endotherm_vertebrate met_ectotherm_vertebrate met_primary_producer mov_walking mov_other_nonliving mov_swimming mov_sessile log_mass mass_missing
129 1 0 0 0 0 0 1 0 0 0 -1.6647469580887457 0
130 0 0 0 0 1 0 0 0 1 0 1.3617278360175928 0
131 1 0 0 0 0 0 1 0 0 0 -0.6182948243342002 0
132 0 0 0 0 0 1 0 0 0 1 -0.5503466840199833 0
133 0 0 0 0 0 1 0 0 1 0 -12.823908740944319 0
134 1 0 0 0 0 0 1 0 0 0 -1.2949553798790987 0
135 1 0 0 0 0 0 0 0 1 0 -5.309803919971486 0
136 0 0 0 0 0 1 0 0 0 1 1.4313637641589874 0
137 1 0 0 0 0 0 0 0 1 0 -4.309803919971486 0
138 1 0 0 0 0 0 0 0 1 0 -2.2969099920009572 0
139 1 0 0 0 0 0 1 0 0 0 -1.0325840169447968 0
140 0 0 0 0 0 1 0 0 1 0 -10.391473966422806 0
141 0 0 0 0 0 1 0 0 1 0 -9.752026733638193 0
142 0 0 0 0 0 1 0 0 1 0 -10.197226274708024 0
143 0 0 0 0 1 0 0 0 1 0 1.6387557421374752 0
144 0 0 0 0 0 1 0 0 1 0 -13.645891560852599 0
145 1 0 0 0 0 0 0 0 0 1 0.8050446433979246 0
146 1 0 0 0 0 0 1 0 0 0 -0.6627924028982861 0
147 1 0 0 0 0 0 1 0 0 0 -0.42351133721031253 0
148 1 0 0 0 0 0 1 0 0 0 -1.2949553798790987 0
149 1 0 0 0 0 0 1 0 0 0 -0.48393195885790863 0
150 1 0 0 0 0 0 1 0 0 0 -1.3578781040533199 0
151 1 0 0 0 0 0 1 0 0 0 -2.130629386935623 0
152 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
153 1 0 0 0 0 0 1 0 0 0 -2.3930007425075135 0
154 0 0 0 0 1 0 0 0 1 0 3.439332693830263 0
155 1 0 0 0 0 0 0 0 0 1 -0.008109297831825665 0
156 1 0 0 0 0 0 1 0 0 0 -1.9271184263319248 0
157 1 0 0 0 0 0 0 0 0 1 -1.2949553798790987 0
158 1 0 0 0 0 0 0 0 0 1 -0.1969100046561435 0
159 1 0 0 0 0 0 0 0 1 0 -2.2969099920009572 0
160 1 0 0 0 0 0 0 0 1 0 -2.9290730176625863 0
161 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
162 0 0 0 0 0 1 0 0 0 1 -1.1374251271039304 0
163 0 0 0 0 0 1 0 0 0 1 -1.6912503838647623 0
164 1 0 0 0 0 0 1 0 0 0 -1.4612360526906873 0
165 1 0 0 0 0 0 1 0 0 0 -1.7608377145152516 0
166 1 0 0 0 0 0 1 0 0 0 -1.6647469580887457 0
167 1 0 0 0 0 0 1 0 0 0 -1.7608377145152516 0
168 1 0 0 0 0 0 1 0 0 0 -1.6647469580887457 0
169 0 0 0 0 0 1 0 0 0 1 -0.5503466840199832 0
170 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
171 1 0 0 0 0 0 1 0 0 0 -2.9290730176625863 0
172 0 0 0 0 1 0 0 0 1 0 1.3617278360175928 0
173 0 0 0 0 1 0 0 0 1 0 0.9339965512138746 0
