"","feature_name","coef_estimate","coef_std_error","coef_p_adjusted","model","metric","significance"
"94","deg_assort_oo",4.31268646719295,0.538927629022915,0.0000000000000140379063210472,"Attribute","PR-AUC","****"
"95","high_tax_frac",-5.86212357164723,0.769864995471225,0.000000000000202974962766727,"Attribute","PR-AUC","****"
"96","connectance",11.4756842625216,1.9663353720961,0.0000000307304530029993,"Attribute","PR-AUC","****"
"97","miss_mass_frac",-3.39997056812842,0.600446540465122,0.0000000686629842250607,"Attribute","PR-AUC","****"
"98","deg_assort_io",-4.05127584928717,0.751256630962117,0.00000026611015876753,"Attribute","PR-AUC","****"
"99","deg_assort_oi",1.52303089205583,0.385559612605625,0.000256586611151015,"Attribute","PR-AUC","***"
"100","mean_log_mass",-0.5147298099021,0.142309093244627,0.00085690794944469,"Attribute","PR-AUC","***"
"101","max_log_mass",-0.382531309352753,0.112817716150681,0.00178157330014743,"Attribute","PR-AUC","**"
"102","unclassified_tax_frac",11.7074282700885,3.80537198393084,0.00481641000584289,"Attribute","PR-AUC","**"
"103","median_log_mass",-0.208660330796044,0.0743074604925103,0.0101107338784037,"Attribute","PR-AUC","*"
"104","mass_skewness",2.86413984531983,1.02667196784366,0.0101107338784037,"Attribute","PR-AUC","*"
"105","log_num_nodes",-1.33051775602539,0.573118621936303,0.0358405860111882,"Attribute","PR-AUC","*"
"106","deg_assort_ii",-0.995041979358033,0.45155807133575,0.0452677166290544,"Attribute","PR-AUC","*"
"107","clustering_coefficient",2.17479252638894,1.06111638561923,0.0619621111647518,"Attribute","PR-AUC",""
"108","avg_degree",0.0442814319009516,0.0221103754732297,0.0649817913708189,"Attribute","PR-AUC",""
"109","assort_mov",-7.48624063143939,4.27975353426945,0.108577031186056,"Attribute","PR-AUC",""
"110","assort_mass",12.6109447156473,7.76894492697561,0.133573572722117,"Attribute","PR-AUC",""
"111","cannibalistic_removal",5.12006920855292,6.06101565785925,0.482089707869345,"Attribute","PR-AUC",""
"112","parasitic_removal",138.311364060308,295.537515171074,0.674946472497091,"Attribute","PR-AUC",""
"113","num_attr",-0.0613308935061423,0.133362260999454,0.674946472497091,"Attribute","PR-AUC",""
"114","min_log_mass",-0.132912594977413,0.256658440454825,0.674946472497091,"Attribute","PR-AUC",""
"115","assort_met",1.24921485905509,5.32969818612363,0.814684129118366,"Attribute","PR-AUC",""
"116","high_tax_frac",-7.65510115416478,0.739354770548222,0.0000000000000000000000092545185990836,"Structure","PR-AUC","****"
"117","miss_mass_frac",-4.73035977399228,0.533019292707662,0.00000000000000000806765834879524,"Structure","PR-AUC","****"
"118","connectance",15.6613414850776,1.83763165444942,0.000000000000000119640957289803,"Structure","PR-AUC","****"
"119","modularity",-14.9252216986153,1.8628583953946,0.00000000000000648932071422103,"Structure","PR-AUC","****"
